@relation velocityA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
1,34,2,0,0.666667,0,0,TRUE
3,1,2,1,1,0,0,FALSE
4,8,0,0.964286,0.666667,3,3,FALSE
1,60,0.733909,0,0.147804,0,0,FALSE
1,17,0.761905,0,0.4375,0,0,TRUE
2,3,2,0.964286,0.533333,0,0,TRUE
1,2,0,0,0.5,0,0,TRUE
2,10,2,0.9,0.4,1,2,TRUE
1,16,0.5,0,0.326531,0,0,TRUE
4,44,0.666667,0.764706,0.533333,0,0,TRUE
3,16,0.722222,0.859649,0.269841,3,3,FALSE
1,6,0.8,0,0.227273,0,0,TRUE
1,13,0.97619,0,0.172619,0,0,TRUE
2,6,2,0.714286,0.45,0,0,TRUE
1,5,2,0,0,0,0,TRUE
1,1,2,0,0.5,0,0,TRUE
1,11,0.701389,0,0.364706,0,0,TRUE
2,10,2,0.931034,0.416667,1,1,TRUE
2,11,0.75,0.5,0.333333,0,0,TRUE
1,47,2,0,0.081081,0,0,FALSE
1,10,0.166667,0,0.5,0,0,TRUE
2,6,0.8,0.9,0.4,0,0,TRUE
1,27,0.836777,0,0.209877,0,0,TRUE
2,8,0.5,0.588235,0.375,0,0,TRUE
4,9,1.5,0.964286,0.666667,2,4,FALSE
1,0,2,0,0.5,0,0,TRUE
1,11,0.7,0,0.192982,0,0,TRUE
1,8,0.4,0,0.416667,0,0,TRUE
1,65,0.917857,0,0.17931,0,0,TRUE
1,5,0.802542,0,0.33871,0,0,FALSE
2,10,2,0.9,0.4,1,1,TRUE
4,4,1.2,0.915254,0.366667,2,4,FALSE
2,17,0.25,0.9,0.466667,1,2,TRUE
3,22,0,0.777778,0.38,1,4,TRUE
2,33,0.666667,0.842105,0.5,1,1,TRUE
4,26,2,1,1,0,0,TRUE
2,7,0.4,0.666667,0.458333,1,1,TRUE
1,4,2,0,0.5,0,0,TRUE
2,8,2,0.931034,0.416667,1,1,TRUE
2,10,2,0.941176,1,1,1,TRUE
3,13,1.019608,0.6,0.338235,1,2,TRUE
1,3,0.882353,0,0.333333,0,0,TRUE
2,9,0.3125,0.9,0.433333,1,1,TRUE
4,8,1.5,0.964286,0.666667,3,4,FALSE
1,1,0.333333,0,0.625,0,0,TRUE
3,8,1,0.907407,0.5,0,0,FALSE
1,12,0.775,0,0.246753,0,0,TRUE
3,13,0.929412,0.685185,0.3,1,1,TRUE
1,3,0.5,0,0.4,0,0,TRUE
1,3,2,0,1,0,0,TRUE
2,10,2,0.9,0.4,1,1,TRUE
2,11,0.75,0.636364,0.44,0,0,TRUE
2,10,2,0.9,0.4,2,2,TRUE
2,15,0.666667,0.84375,0.326531,1,1,TRUE
1,4,0.963158,0,0.160819,0,0,FALSE
2,10,2,0.9,0.4,1,1,TRUE
4,13,0.916667,0.947368,0.5,3,6,FALSE
4,6,0.85,0.947368,0.5,3,3,FALSE
1,46,2,0,1,0,0,TRUE
1,4,0.4,0,0.5,0,0,TRUE
1,4,0.703297,0,0.346154,0,0,TRUE
2,1,1,0.971429,0.75,1,1,FALSE
2,13,0.75,0.6,0.466667,1,1,TRUE
1,1,0.444444,0,0.625,0,0,TRUE
1,6,2,0,0.325,0,0,TRUE
1,16,1,0,0.4,0,0,FALSE
1,58,2,0,0,0,0,TRUE
4,7,1.5,0.964286,0.666667,2,4,FALSE
2,10,2,0.931034,0.416667,1,1,TRUE
3,0,0.333333,0.866667,0.666667,1,1,FALSE
