@relation velocityA-weka.filters.supervised.instance.Resample-B1.0-S1-Z62.11765-no-replacement

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
2,10,2,0.931034,0.416667,1,1,TRUE
2,14,0.75,0.47619,0.461538,0,0,TRUE
4,31,2,1,1,0,0,TRUE
1,5,2,0,0,0,0,TRUE
2,9,2,0.933333,0.392857,0,0,TRUE
2,10,2,0.9,0.4,1,1,TRUE
2,16,0.5,0.9,0.466667,0,0,TRUE
1,6,2,0,1,0,0,TRUE
4,4,0.75,0.75,0.333333,1,2,TRUE
2,17,0.25,0.9,0.466667,1,2,TRUE
1,6,0.666667,0,0.625,0,0,TRUE
1,12,0.361111,0,0.325,0,0,TRUE
2,6,0,0.6,0.47619,1,2,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
1,6,2,0,1,0,0,TRUE
1,4,2,0,1,0,0,TRUE
2,8,2,0.931034,0.416667,1,1,TRUE
1,5,0.4,0,0.388889,0,0,TRUE
1,2,0.333333,0,0.5,0,0,TRUE
2,11,0.75,0.5,0.333333,0,0,TRUE
3,12,1,0.727273,0.4375,1,1,TRUE
1,3,0.5,0,0.4,0,0,TRUE
1,6,2,0,0.5,0,0,TRUE
2,5,2,0.833333,0.666667,0,0,TRUE
1,5,0.703297,0,0.346154,0,0,TRUE
1,3,2,0,0.48,0,0,TRUE
1,6,0.75,0,0.466667,0,0,TRUE
1,12,0.666667,0,0.416667,0,0,TRUE
2,7,0.666667,0.72973,0.333333,0,0,TRUE
1,3,0.611111,0,0.52381,0,0,TRUE
1,11,0.826667,0,0.226667,0,0,TRUE
1,3,2,0,1,0,0,TRUE
2,18,0.642857,0.833333,0.28125,1,1,TRUE
2,20,0.533333,0.875,0.416667,1,2,TRUE
1,8,2,0,1,0,0,TRUE
2,44,0.011905,0.505882,0.067604,0,0,TRUE
2,22,0.764423,0.7,0.253968,1,2,TRUE
2,10,2,0.931034,0.392857,1,1,TRUE
1,9,2,0,0.666667,0,0,TRUE
1,65,0.917857,0,0.17931,0,0,TRUE
2,5,2,0.964286,0.533333,0,0,TRUE
1,6,0.625,0,0.466667,0,0,TRUE
1,2,0.4,0,0.833333,0,0,TRUE
1,12,0.814815,0,0.422222,0,0,TRUE
2,26,0.333333,0.842105,0.5,1,1,TRUE
1,5,0.5,0,0.458333,0,0,TRUE
2,16,1.333333,0.8,0.375,0,0,TRUE
2,16,0.792857,0.333333,0.237037,0,0,TRUE
1,4,0.4,0,0.5,0,0,TRUE
1,4,2,0,0.9,0,0,TRUE
1,4,2,0,0.666667,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
1,5,0.333333,0,0.5,0,0,TRUE
1,6,0.4,0,0.458333,0,0,TRUE
1,3,0.882353,0,0.333333,0,0,TRUE
1,4,2,0,0.666667,0,0,TRUE
1,14,0.675926,0,0.369231,0,0,TRUE
1,5,2,0,1,0,0,TRUE
1,9,2,0,0.933333,0,0,TRUE
2,11,2,0.903226,0.4,1,1,TRUE
1,6,0.878788,0,0.261905,0,0,TRUE
4,10,0.666667,0.928571,0.666667,0,0,TRUE
2,10,2,0.9,0.4,1,1,TRUE
2,6,2,0.931034,0.416667,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
1,68,0.902821,0,0.176667,1,1,TRUE
2,12,0.611111,0.84375,0.303571,0,0,TRUE
1,9,0.672727,0,0.186957,0,0,TRUE
2,4,0.555556,0.571429,0.45,0,0,TRUE
2,8,2,0.9,0.4,1,1,TRUE
1,5,2,0,1,0,0,TRUE
1,5,2,0,0.3125,0,0,TRUE
1,8,0.4,0,0.416667,0,0,TRUE
2,3,0.333333,0.558824,0.5,1,6,TRUE
2,4,0,0.977273,0.625,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
1,17,0.761905,0,0.4375,0,0,TRUE
1,18,2,0,0.16,0,0,TRUE
1,45,1,0,0.064646,0,0,TRUE
2,11,2,0.903226,0.4,2,2,TRUE
2,10,2,0.931034,0.416667,1,1,TRUE
3,13,1.019608,0.6,0.338235,1,2,TRUE
2,5,0.5,0.6,0.555556,1,2,TRUE
1,5,0.4,0,0.458333,0,0,TRUE
2,10,2,0.9,0.371429,1,2,TRUE
2,4,0.875,0.9,0.4,0,0,TRUE
2,2,2,0.714286,0.666667,1,2,TRUE
1,10,2,0,0.75,0,0,TRUE
5,23,0.6875,0.823529,0.5,0,0,TRUE
2,5,2,0.964286,0.533333,0,0,TRUE
2,33,0.666667,0.842105,0.5,1,1,TRUE
1,7,0.6875,0,0.351852,0,0,TRUE
1,74,0,0,0.409524,0,0,TRUE
2,6,0.8,0.9,0.4,0,0,TRUE
2,21,0.789744,0.692308,0.253968,1,2,TRUE
1,3,2,0,0.5,0,0,TRUE
2,8,2,0.931034,0.416667,1,1,TRUE
1,26,0.902778,0,0.235294,0,0,TRUE
1,2,0.933333,0,0.233766,0,0,TRUE
1,20,0.761905,0,0.3125,0,0,TRUE
2,11,2,0.933333,0.416667,1,1,TRUE
2,10,1.057143,0.647059,0.357143,1,1,TRUE
1,1,0,0,0.464286,0,0,TRUE
1,3,0.8,0,0.4,0,0,TRUE
4,3,2,1,1,0,0,TRUE
3,4,0.555556,0.769231,0.458333,1,1,TRUE
1,3,0.962963,0,0.388889,0,0,TRUE
1,29,0.027778,0,0.114198,0,0,TRUE
2,11,0.955128,0.5,0.276923,2,3,TRUE
1,6,1.5,0,0.583333,0,0,TRUE
1,16,0.848485,0,0.238095,0,0,TRUE
1,64,2,0,0.222222,0,0,TRUE
2,11,2,0.903226,0.4,2,2,TRUE
1,19,0,0,0.238636,0,0,TRUE
