@relation velocityB

@attribute ﻿dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,16,0.5,0,0.177778,1,1,FALSE
1,12,0.714286,0,0.377778,0,0,TRUE
1,7,2,0,1,0,0,FALSE
2,11,2,0.909091,0.4,1,1,TRUE
2,11,2,0.882353,0.333333,2,2,FALSE
1,68,0.743421,0,0.145559,0,0,TRUE
1,3,0.818182,0,0.361111,0,0,TRUE
4,5,0.75,0.75,0.333333,1,2,FALSE
2,9,2,0.692308,0.44,0,0,TRUE
4,38,0.666667,0.928571,0.666667,0,0,FALSE
2,7,2,0.9375,0.392857,0,0,TRUE
1,5,0.808155,0,0.339015,0,0,TRUE
1,6,0.25,0,0.433333,0,0,TRUE
3,9,2,0.972222,0.533333,2,2,FALSE
2,21,0.5,0.857143,0.387755,1,2,TRUE
2,8,0.166667,0.571429,0.47619,0,0,TRUE
2,1,0.709877,0.464286,0.305556,1,2,FALSE
1,6,2,0,0.5,0,0,TRUE
2,5,2,0.967742,0.533333,0,0,FALSE
2,9,0.583333,0.6,0.377778,2,2,TRUE
1,4,2,0,0.5,0,0,FALSE
2,44,0.011905,0.505882,0.067604,0,0,TRUE
1,8,2,0,1,0,0,FALSE
2,9,2,0.9375,0.416667,1,1,FALSE
3,16,0.666667,0.866667,0.4,1,1,FALSE
1,6,0.625,0,0.466667,0,0,FALSE
2,5,0.25,0.666667,0.611111,0,0,FALSE
2,9,0.555556,0.75,0.385714,0,0,TRUE
2,8,0.473684,0.547619,0.316667,1,3,FALSE
2,11,2,0.882353,0.333333,2,2,FALSE
1,2,0.825,0,0.4,0,0,TRUE
1,12,0,0,0.25,0,0,TRUE
1,2,0.95,0,0.466667,0,0,FALSE
1,6,0.5,0,0.466667,0,0,FALSE
2,11,2,0.909091,0.4,1,2,FALSE
1,4,0.916667,0,0.48,0,0,TRUE
5,46,0.809524,0.666667,0.375,1,1,FALSE
1,4,2,0,1,0,0,FALSE
1,80,0.166667,0,0.213333,0,0,FALSE
1,7,1.076923,0,0.333333,0,0,TRUE
2,9,2,0.9375,0.392857,0,0,TRUE
1,11,0.956522,0,0.168478,0,0,FALSE
2,10,2,0.9375,0.392857,1,1,FALSE
2,10,2,0.909091,0.371429,1,2,FALSE
1,6,2,0,0.3,0,0,FALSE
1,1,0.5,0,0.5,0,0,FALSE
1,18,0.603175,0,0.333333,0,0,FALSE
3,8,2,0.945946,0.458333,2,3,FALSE
2,12,0.75,0.5625,0.263889,0,0,TRUE
1,48,2,0,0.069767,0,0,TRUE
1,1,0,0,0.464286,0,0,FALSE
5,4,2,1,1,0,0,FALSE
3,4,0.555556,0.5,0.458333,1,1,FALSE
2,6,0.8,0.909091,0.4,0,0,FALSE
1,3,2,0,0.916667,0,0,FALSE
2,9,0.5,0.631579,0.375,1,1,FALSE
1,0,2,0,0.5,0,0,FALSE
2,2,2,0.714286,0.666667,1,2,FALSE
1,8,0.333333,0,0.416667,0,0,FALSE
1,65,0.913978,0,0.175,1,1,TRUE
2,28,0.735294,0.697674,0.251852,1,2,TRUE
4,6,0.9,0.75,0.375,1,3,TRUE
1,5,2,0,1,0,0,FALSE
2,7,0.166667,0.666667,0.5,0,0,FALSE
2,9,2,0.909091,0.4,1,1,FALSE
1,3,0.611111,0,0.52381,0,0,FALSE
1,3,2,0,0.48,0,0,TRUE
2,14,2,0.692308,0.44,0,0,TRUE
2,2,2,0.888889,0.666667,0,0,FALSE
1,11,0.826667,0,0.226667,0,0,FALSE
2,7,0.6,0.631579,0.325,1,2,FALSE
1,19,0.025641,0,0.105128,0,0,TRUE
1,2,2,0,0.555556,0,0,FALSE
1,2,2,0,1,0,0,FALSE
2,6,0.875,0.909091,0.4,0,0,TRUE
1,6,2,0,0.666667,0,0,FALSE
1,15,2,0,0.68,0,0,TRUE
1,9,2,0,0.416667,0,0,TRUE
