@relation velocityA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z61.9047619-no-replacement

@attribute dit numeric
@attribute cbo numeric
@attribute lcom3 numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute Faultiness {TRUE,FALSE}

@data
2,3,0.555556,0.571429,0.45,0,0,TRUE
4,10,0.666667,0.928571,0.666667,0,0,TRUE
1,58,2,0,0,0,0,TRUE
2,5,0.333333,0.571429,0.541667,0,0,TRUE
1,4,0.4,0,0.5,0,0,TRUE
2,16,1.333333,0.8,0.375,0,0,TRUE
2,4,0.555556,0.571429,0.45,0,0,TRUE
2,10,2,0.9,0.4,1,1,TRUE
1,18,2,0,0.16,0,0,TRUE
2,10,2,0.9,0.4,1,2,TRUE
2,10,2,0.931034,0.416667,1,1,TRUE
1,3,0.962963,0,0.388889,0,0,TRUE
1,4,2,0,0.5,0,0,FALSE
3,10,1.019608,0.6,0.338235,1,2,FALSE
4,10,2,0.964286,0.666667,2,4,FALSE
4,8,2,0.964286,0.666667,2,4,FALSE
2,5,0.75,0.636364,0.44,0,0,FALSE
2,8,1,0.6875,0.416667,1,1,FALSE
2,10,2,0.903226,0.371429,1,2,FALSE
1,1,0.5,0,0.5,0,0,FALSE
2,14,0.628571,0.833333,0.265625,1,2,FALSE
1,6,2,0,0.5,0,0,FALSE
4,4,1.2,0.915254,0.366667,2,4,FALSE
2,2,2,0.888889,0.666667,0,0,FALSE
