@relation xalanA-weka.filters.supervised.instance.Resample-B1.0-S1-Z126.5399

@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
15,0.333333,268,37.142857,FALSE
42,0.625,345,25.384615,FALSE
37,0.916667,141,10.727273,FALSE
0,0.7,183,28.5,FALSE
1,2,15,6.5,FALSE
0,0,45,7.8,FALSE
1,2,39,18.5,FALSE
4,0.5,233,45.4,FALSE
36,2,9,0,FALSE
6,0.660714,399,47.875,FALSE
2,0.333333,97,22.75,FALSE
16,0.571429,97,11,FALSE
15,1.133333,273,44,FALSE
2145,1.015385,81,0,FALSE
15,2,229,37.166667,FALSE
2,0.333333,151,28.6,FALSE
0,0,191,61.333333,FALSE
0,0.142857,241,29,FALSE
0,0.653409,621,34.882353,FALSE
0,0.083333,98,12.714286,FALSE
37,0.916667,141,10.727273,FALSE
0,0,23,10,FALSE
0,2,5,4,FALSE
30,0.75,619,67.333333,FALSE
0,0,64,8,FALSE
1,2,39,18.5,FALSE
0,2,6,5,FALSE
1,0.5,599,198.333333,FALSE
0,0.333333,44,9.75,FALSE
1,2,13,5.5,FALSE
4,0,129,24.4,FALSE
4,0.5,253,49.4,FALSE
76,0.8,736,44.6875,FALSE
4,0.5,38,6.4,FALSE
8,0.5,92,17.2,FALSE
354,0.88172,657,19.25,FALSE
0,2,0,0,FALSE
36,2,82,8.111111,FALSE
561,2,34,0,FALSE
1,1.423077,3769,1251,FALSE
3,0.733333,462,75,FALSE
1,2,65,31.5,FALSE
254,0.902778,559,21.12,FALSE
66,2,12,0,FALSE
212,0.625,711,18.108108,FALSE
0,2,5,4,FALSE
0,0,191,61.333333,FALSE
0,2,1,0,FALSE
0,0.59,357,15.761905,FALSE
71,0.706349,827,36.045455,FALSE
1,0.333333,70,8.857143,FALSE
0,0.333333,240,58,FALSE
0,2,12,9,FALSE
0,2,16,12,FALSE
214,0.891667,494,18.36,FALSE
0,0.833333,127,30.25,FALSE
0,0.333333,158,18.375,FALSE
49,0.833333,139,7.866667,FALSE
0,0.5,67,6.222222,FALSE
1,1.3,875,289,FALSE
1,2,15,6.5,FALSE
4,0.25,126,23.8,FALSE
6,2,59,13.75,FALSE
0,2,1,0,FALSE
181,0.979798,3198,137.652174,FALSE
17,0.788889,665,64.5,FALSE
0,0.817582,914,24.027778,FALSE
1,2,17,0,FALSE
0,0.238095,152,5.863636,FALSE
1,2,21,9.5,FALSE
0,0.64,380,33.090909,FALSE
0,0,48,14.666667,FALSE
36,2,82,8.111111,FALSE
1,2,13,5.5,FALSE
3,2,24,7,FALSE
1,1.423077,3769,1251,FALSE
190,2,288,13.4,FALSE
1,2,26,12,FALSE
7,0.666667,196,26.571429,FALSE
0,0.285714,253,30.375,FALSE
0,0.425,234,19.909091,FALSE
0,0,155,21,FALSE
1,2,65,31.5,FALSE
86,0.791667,736,41.941176,FALSE
0,2,4,3,FALSE
0,0.814815,242,32.285714,FALSE
1,2,39,18.5,FALSE
91,0.811688,833,53.066667,FALSE
36,2,9,0,FALSE
444,0.719298,2278,34.296875,FALSE
10,2,107,20.4,FALSE
10,2,39,6.8,FALSE
0,2,27,10,FALSE
0,0.636364,179,41,FALSE
4,0.666667,30,6.25,FALSE
0,0.62963,99,8.6,FALSE
0,0.214286,105,11.875,FALSE
0,2,0,0,FALSE
335,0.667917,877,19.571429,FALSE
6,0.602273,245,18.75,FALSE
1,0.5,1014,336.666667,FALSE
6,2,58,13.5,FALSE
53,0.9,90,7.090909,FALSE
10,2,56,10.2,FALSE
0,0,29,12,FALSE
6,2,59,13.75,FALSE
1,0.518519,302,28.9,FALSE
3,2,25,7.333333,FALSE
3,2,24,7,FALSE
0,0.657143,183,21.25,FALSE
1,1,14,5.5,FALSE
0,2,16,12,FALSE
1,2,44,21,FALSE
42,0.783333,663,49.615385,FALSE
