@relation xalanA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
112,0.777778,509,30.625,FALSE
0,0.363636,149,11.25,FALSE
1362,1.001603,2089,37.962264,TRUE
1176,1,743,14.142857,FALSE
0,2,1,0,FALSE
36,2,9,0,FALSE
15,0.5,166,22.571429,TRUE
28,2,177,21.125,FALSE
28,2,8,0,FALSE
4,0,129,24.4,FALSE
0,0.25,32,5.2,FALSE
526,0.998047,300,7.606061,FALSE
0,0.5,155,20.857143,TRUE
0,0.2,632,56.181818,FALSE
1,2,7,2.5,FALSE
1,2,15,6.5,FALSE
23,0.798319,1308,85.066667,FALSE
0,2,4,3,FALSE
388,0.895703,2321,46.291667,FALSE
3,2,8,1.666667,FALSE
0,0.892857,353,37.444444,FALSE
0,0.814815,242,32.285714,FALSE
120,2,229,13.3125,FALSE
6,2,4,0,FALSE
15,1,615,101.166667,TRUE
10,2,8,0.6,FALSE
10,2,74,13.8,FALSE
28,1.142857,273,17.375,FALSE
4,0.75,251,48.4,TRUE
0,2,188,0,FALSE
39,0.826923,343,22.642857,FALSE
0,2,8,3,FALSE
0,0.305556,596,58.2,FALSE
0,0.636364,179,41,FALSE
0,0.333333,123,29.5,FALSE
0,0.52381,217,25.375,FALSE
3,2,40,12.333333,FALSE
4,0.5,225,43.8,FALSE
0,0.7,183,28.5,FALSE
1,2,14,6,FALSE
5,0.714286,248,20.272727,FALSE
1,1,38,16,FALSE
49,0.833333,139,7.866667,FALSE
0,0,74,9.428571,FALSE
0,0.2,88,6.909091,FALSE
0,0.535714,499,32.133333,FALSE
3,2,30,9,FALSE
1,0.5,28,8,FALSE
0,0.583333,426,46,TRUE
0,0,47,4.75,FALSE
1,2,19,8.5,FALSE
1,2,34,16,FALSE
0,2,6,5,FALSE
15,2,6,0,TRUE
9,0.5,55,6.714286,FALSE
78,0.96875,462,25.588235,FALSE
55,0.153846,212,14,FALSE
4934,0.90559,2911,23.853448,TRUE
0,0,35,15.5,FALSE
0,2,7,6,FALSE
1,0.5,177,57.666667,FALSE
211,0.656566,1600,45.794118,FALSE
3,2,24,7,FALSE
2,0.333333,475,117.25,FALSE
0,0.5,498,22.47619,FALSE
1,0.333333,70,8.857143,FALSE
66,2,12,0,FALSE
0,1.266667,90,15.25,FALSE
0,0.238095,152,5.863636,FALSE
36,2,9,0,FALSE
71,0.538462,167,10.857143,FALSE
0,2,1,0,FALSE
0,2,4,3,FALSE
8,0.5,92,17.2,FALSE
0,2,5,4,FALSE
6,2,121,29.25,FALSE
0,0.238095,157,18.25,FALSE
31,0.810458,1125,61,FALSE
20,0.571429,189,22.25,TRUE
3,2,59,18.666667,FALSE
1,2,65,31.5,FALSE
3,2,61,19.333333,FALSE
3,2,24,7,FALSE
50,0.65625,569,32.235294,FALSE
0,0,213,29.285714,FALSE
1,2,17,7.5,FALSE
0,2,5,3,FALSE
0,2,36,28,FALSE
0,2,1,0,FALSE
6,2,58,13.5,FALSE
0,2,4,3,FALSE
1,2,2,0,FALSE
210,0.916667,979,37.6,TRUE
188,1.019737,859,41.55,TRUE
0,0,38,11.333333,FALSE
1,2,2,0,FALSE
1873,0.911111,2275,32.507463,TRUE
3,2,25,7.333333,FALSE
119,0.85,1465,75.578947,FALSE
1037,0.878405,2724,36.760563,TRUE
0,0.166667,93,21.75,FALSE
4,0.666667,26,5.25,FALSE
0,2,5,4,FALSE
10,2,56,10.2,FALSE
0,0.45,416,67.666667,FALSE
0,0,65,8.142857,FALSE
6,2,468,116,TRUE
57,0.666667,154,7,FALSE
30,0.912946,505,27.058824,TRUE
466,0.806452,276,7.59375,FALSE
6,2,113,27.25,FALSE
21,2,452,63.571429,FALSE
1,2,13,5.5,FALSE
561,2,34,0,FALSE
0,0.4375,115,21.2,TRUE
0,0.55,127,10.363636,FALSE
0,0.5,32,9,FALSE
3,2,141,46,TRUE
0,0.2,94,14.5,FALSE
28,2,31,2.875,FALSE
3,2,10,2.333333,FALSE
0,2,1,0,FALSE
2,0.333333,97,22.75,FALSE
3,2,19,5.333333,FALSE
0,0.5,101,10,FALSE
1,2,15,6.5,FALSE
3,2,41,12.666667,FALSE
0,0.68254,476,20.363636,FALSE
6,0.409091,230,18,TRUE
114,0.846429,394,12.241379,FALSE
0,2,1,0,FALSE
3,2,40,12.333333,FALSE
2,0.666667,91,21.25,TRUE
1,0.5,599,198.333333,FALSE
1,2,6,2,FALSE
0,0.333333,149,36,FALSE
1,0.5,26,7.333333,FALSE
36,2,28,2.111111,FALSE
0,0.166667,264,86,FALSE
0,2,136,119,FALSE
1,2,43,20.5,TRUE
3,1,183,58.666667,FALSE
3,2,169,55.333333,FALSE
25,0.555556,86,7.5,TRUE
0,0,171,54.666667,FALSE
1,2,50,24,FALSE
3,2,25,7.333333,FALSE
0,0.444444,152,36.25,FALSE
0,0.333333,44,9.75,FALSE
15,2,193,31.166667,TRUE
15,2,160,25.666667,FALSE
1,1.456897,583,174,FALSE
1,2,72,35,FALSE
0,0.75,144,27.4,FALSE
66,0.909091,477,38.583333,TRUE
337,0.894661,1704,48.5,FALSE
55,2,44,3,FALSE
241,0.733333,1095,34.16129,FALSE
0,2,0,0,FALSE
28,2,110,12.75,FALSE
53,0.785714,164,9.6,FALSE
