@relation xalanA-weka.filters.supervised.instance.Resample-B1.0-S1-Z73.460145-no-replacement

@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
1,1.3,875,289,FALSE
34,0.826389,289,20.307692,FALSE
0,0,85,9.5,FALSE
3,2,24,7,FALSE
3,2,33,10,FALSE
1,2,9,3.5,FALSE
4,0.5,22,3.2,FALSE
3,2,25,7.333333,FALSE
91,0.811688,833,53.066667,FALSE
0,0.333333,213,34,FALSE
0,0,37,8,FALSE
45,1.111111,11,0,FALSE
62,0.757813,276,14.764706,FALSE
607,0.9,1852,47.473684,FALSE
0,0.666667,28,5.25,FALSE
0,2,4,3,FALSE
3,2,207,68,FALSE
1,0.5,614,203.333333,FALSE
157,0.993827,94,3.473684,FALSE
1,2,9,3.5,FALSE
13,0.9,104,16,FALSE
0,2,1,0,FALSE
1,2,2,0,FALSE
4,0.666667,30,6.25,FALSE
0,0.3,113,9.181818,FALSE
0,0,28,12.5,FALSE
0,0.45,416,67.666667,FALSE
3,1.5,124,40,FALSE
0,0.4,201,32.166667,FALSE
0,0.64,380,33.090909,FALSE
0,0.333333,44,9.75,FALSE
0,0.817582,914,24.027778,FALSE
23,0.555556,89,7.8,FALSE
3,2,45,14,FALSE
27,0.888889,87,6.9,FALSE
0,0.5,118,15.571429,FALSE
0,0.083333,369,27.307692,FALSE
1,2,65,31.5,FALSE
6,0.809524,279,33.125,FALSE
1,2,36,17,FALSE
0,2,7,6,FALSE
6,0.916667,41,6.6,FALSE
13,0.861111,99,11.428571,FALSE
1,2,16,3.5,FALSE
0,2,4,3,FALSE
12,0.625,605,65.888889,FALSE
0,0,34,5.6,FALSE
0,2,4,3,FALSE
3,2,24,7,FALSE
37,0.888889,52,3.8,FALSE
8,0.714286,435,53.25,FALSE
1,0.5,499,165,FALSE
171,2,19,0,FALSE
15,2,34,4.666667,FALSE
3,2,22,6.333333,FALSE
0,0,45,7.8,FALSE
1,0.553571,483,30.933333,FALSE
1,2,19,8.5,FALSE
0,2,0,0,FALSE
1,0.5,177,57.666667,FALSE
1,0.5,499,165,FALSE
0,0.6,419,81.8,FALSE
184,2,448,21.4,FALSE
3,2,207,68,FALSE
0,0.783972,437,9.238095,FALSE
0,2,1,0,FALSE
5671,2,648,5.056075,FALSE
0,0.833333,62,14,FALSE
6,0.602273,245,18.75,FALSE
3,2,24,7,FALSE
1,2,30,14,FALSE
0,0.75,144,27.4,FALSE
0,2,1,0,FALSE
37,0.916667,141,10.727273,FALSE
27,0.666667,290,19.5,FALSE
1,2,10,0,FALSE
0,0.633333,360,31.181818,FALSE
1,2,10,0,FALSE
3,2,40,12.333333,FALSE
1,2,39,18.5,FALSE
3,2,169,55.333333,FALSE
0,0.657143,183,21.25,FALSE
2,0.625,107,20,FALSE
3,2,59,18.666667,FALSE
21,2,163,22.285714,FALSE
1,2,9,3.5,FALSE
8,0.5,59,10.6,FALSE
1,2,11,4.5,FALSE
1,1,38,16,FALSE
1,2,23,10.5,FALSE
15,0.333333,282,39.142857,FALSE
3,2,61,19.333333,FALSE
0,0.166667,264,86,FALSE
55,2,44,3,FALSE
0,2,4,3,FALSE
0,1.266667,90,15.25,FALSE
0,0.5,157,21.142857,FALSE
3,2,8,1.666667,FALSE
0,0.392857,357,22.666667,FALSE
74,0.6,225,12.9375,FALSE
6,0.375,124,12.666667,FALSE
1,1.423077,3769,1251,FALSE
36,2,28,2.111111,FALSE
0,0.305556,596,58.2,FALSE
0,0.25,129,24.4,FALSE
3,1,183,58.666667,FALSE
14,0.583333,268,19.076923,FALSE
18,0.8,114,12.625,FALSE
83,0.821429,210,12.866667,FALSE
36,2,82,8.111111,FALSE
21,2,163,22.285714,FALSE
0,0.62963,362,34.6,FALSE
36,2,204,21.666667,FALSE
0,0,213,29.285714,FALSE
0,0.75,469,13.030303,FALSE
0,0.076923,174,11.357143,FALSE
4,0.571429,75,8.125,FALSE
21,2,452,63.571429,FALSE
1,2,15,6.5,FALSE
0,0.5,176,33.8,FALSE
10,2,19,2.8,FALSE
3,2,225,74,FALSE
0,0.444444,152,36.25,FALSE
221,0.964286,385,16.318182,FALSE
0,0,64,8,FALSE
526,0.998047,300,7.606061,FALSE
0,0,47,4.75,FALSE
0,0,37,8,FALSE
0,0.333333,40,8.75,FALSE
1,0.518519,302,28.9,FALSE
0,1.095238,54,10.75,FALSE
1,2,44,21,FALSE
126,0.7625,322,14.142857,FALSE
223,0.634483,460,14.166667,FALSE
0,0.333333,836,68.416667,FALSE
0,0,91,17,FALSE
0,0.633333,375,32.545455,FALSE
1,1,38,16,FALSE
0,2,5,4,FALSE
0,0,65,8.142857,FALSE
1,2,28,13,FALSE
37,0.916667,141,10.727273,FALSE
0,2,1,0,FALSE
0,0.65,328,63.6,FALSE
0,0.583333,262,24.8,FALSE
0,0,86,16,FALSE
0,2,0,0,FALSE
0,2,0,0,FALSE
0,2,1,0,FALSE
54,0.9,119,7.384615,FALSE
3,2,37,11.333333,FALSE
0,0.814815,242,32.285714,FALSE
0,0.5,199,27.142857,FALSE
3,2,24,7,FALSE
428,0.834921,967,25.111111,FALSE
3,2,25,7.333333,FALSE
190,2,516,23.571429,FALSE
0,0.6875,622,34.882353,FALSE
3,2,61,19.333333,FALSE
0,2,6,5,FALSE
6,1,30,6,FALSE
0,1.266667,90,15.25,FALSE
53,0.9,90,7.090909,FALSE
51,0.763889,405,19.894737,FALSE
0,0.5,242,58.5,FALSE
0,0.25,269,52.6,FALSE
0,0,82,15.2,FALSE
0,2,1,0,FALSE
3,2,30,9,FALSE
3,2,62,19.666667,FALSE
309,0.84755,2953,96.8,FALSE
0,2,1,0,FALSE
0,0.55,127,10.363636,FALSE
6,2,121,29.25,FALSE
4,0.666667,29,5.75,FALSE
254,0.902778,559,21.12,FALSE
1,1,47,18,FALSE
0,0.285714,119,13.75,FALSE
3,2,75,24,FALSE
14,0.983516,460,53.25,FALSE
3,2,37,11.333333,FALSE
0,0.52381,217,25.375,FALSE
0,2,1,0,FALSE
0,0.65,361,58.5,FALSE
27,0.844444,79,6.4,FALSE
42,0.783333,663,49.615385,FALSE
0,2,11,7,FALSE
29,0.825,114,9,FALSE
0,0.2,88,6.909091,FALSE
0,2,4,3,FALSE
6,0.65,253,48.6,FALSE
1,2,50,24,FALSE
2,0.666667,29,5.75,FALSE
91,0.686275,271,13.888889,FALSE
36,2,82,8.111111,FALSE
0,0,41,7,FALSE
37,0.777778,64,5,FALSE
28,0.5,207,21.888889,FALSE
0,0,66,15.25,FALSE
8,0.875,198,38.2,FALSE
1101,0.912037,1105,18.872727,FALSE
0,0.142857,217,100.5,FALSE
3,2,50,15.666667,FALSE
1,2,44,21,FALSE
1,2,14,6,FALSE
0,2,1,0,FALSE
287,0.978462,414,13.923077,FALSE
117,0.5,823,25.419355,FALSE
0,0.730769,163,10.357143,FALSE
6,2,7,0.75,FALSE
0,2,1,0,FALSE
13,0.861111,99,11.428571,FALSE
1,0.583333,297,41.142857,FALSE
0,0,18,7.5,FALSE
3,2,24,7,FALSE
1,0.5,37,11,FALSE
0,0.7,183,28.5,FALSE
13,0.8,41,5.666667,FALSE
0,2,12,9,FALSE
0,0.681818,365,28.583333,FALSE
30,0.583333,388,28.692308,FALSE
17,0.888889,237,32.428571,FALSE
1,2,65,31.5,FALSE
4,2,63,14.75,FALSE
0,0.285714,253,30.375,FALSE
0,0,191,61.333333,FALSE
23,0.798319,1308,85.066667,FALSE
6,0.375,217,23,FALSE
10,2,56,10.2,FALSE
0,0.833333,62,14,FALSE
6,2,20,4,FALSE
0,0.807556,1640,12.385246,FALSE
0,2,0,0,FALSE
1,2,42,13,FALSE
4,0,129,24.4,FALSE
3,2,55,17.333333,FALSE
1,2,65,31.5,FALSE
3,2,24,7,FALSE
8,0.541667,257,18.615385,FALSE
3,2,18,5,FALSE
2227,0.907106,2452,31.702703,FALSE
0,2,4,3,FALSE
0,0.5,289,46.5,FALSE
1,2,42,20,FALSE
57,0.666667,154,7,FALSE
5,0.714286,248,20.272727,FALSE
1,2,39,18.5,FALSE
814,2,161,2.926829,FALSE
13,0.9,104,16,FALSE
0,2,26,3,FALSE
3,2,207,68,FALSE
0,2,1,0,FALSE
19,0.833333,76,9.714286,FALSE
300,1.041667,28,0,FALSE
9,0.5,55,6.714286,FALSE
1,2,50,24,FALSE
3,2,131,42.666667,FALSE
1,0.553571,477,30.533333,FALSE
0,1.095238,54,10.75,FALSE
0,2,1,0,FALSE
0,0.535714,499,32.133333,FALSE
3,2,24,7,FALSE
91,2,14,0,FALSE
15,0.833333,189,25.714286,FALSE
0,2,4,0,FALSE
0,2,1,0,FALSE
126,0.7625,322,14.142857,FALSE
0,0.5,289,46.5,FALSE
6,2,39,8.75,FALSE
2129,0.868056,3012,35.536585,FALSE
1,0.5,28,8,FALSE
0,0,25,11,FALSE
0,0.447368,184,8.1,FALSE
1,2,39,18.5,FALSE
0,2,1,0,FALSE
55,0.807692,140,8.571429,FALSE
27,0.666667,290,19.5,FALSE
3,0.6,314,51,FALSE
0,0.5,41,6.8,FALSE
0,0.5,133,42,FALSE
40,0.638889,352,25.846154,FALSE
9,0.833333,134,20.333333,FALSE
0,2,1,0,FALSE
1,2,43,20.5,FALSE
3,2,30,9,FALSE
95,0.833333,943,51.055556,FALSE
0,0.535714,406,25.933333,FALSE
1,2,42,20,FALSE
1,2,21,9.5,FALSE
0,0.583333,262,24.8,FALSE
587,0.991349,339,8.2,FALSE
0,0.543478,486,19.083333,FALSE
4,0.25,126,23.8,FALSE
15,0.833333,189,25.714286,FALSE
2,0.625,110,20.6,FALSE
0,0,115,15.285714,FALSE
3,2,30,9,FALSE
19,0.75,138,11,FALSE
66,1.090909,13,0,FALSE
0,0.269231,332,22.571429,FALSE
4,0.666667,30,6.25,FALSE
6,2,4,0,FALSE
0,2,20,15,FALSE
21,2,158,21.571429,FALSE
0,0.333333,44,9.75,FALSE
1,2,26,12,FALSE
0,0.305556,611,59.7,FALSE
36,2,82,8.111111,FALSE
15,0.825,168,13.909091,FALSE
0,0.285714,253,30.375,FALSE
1,0.5,599,198.333333,FALSE
0,0,28,12.5,FALSE
3,2,10,2.333333,FALSE
0,0.45,286,24.636364,FALSE
49,0.833333,139,7.866667,FALSE
15,2,229,37.166667,FALSE
3,2,245,80.666667,FALSE
3,2,23,6.666667,FALSE
1,0.5,314,103.333333,FALSE
64,0.981818,586,47.416667,FALSE
0,0.62963,362,34.6,FALSE
0,2,8,3,FALSE
1,2,145,71.5,FALSE
0,0.185185,600,58.7,FALSE
36,2,341,36.888889,FALSE
10,2,85,16,FALSE
4474,0.941667,2010,19.463918,FALSE
69,0.836735,442,28,FALSE
3,2,25,7.333333,FALSE
0,2,80,71,FALSE
276,2,52,1.166667,FALSE
3,2,37,11.333333,FALSE
0,0.185185,600,58.7,FALSE
0,2,5,3,FALSE
1,2,34,16,FALSE
5,0.583333,131,17.428571,FALSE
6,2,59,13.75,FALSE
21,1,30,3,FALSE
300,1.041667,28,0,FALSE
3,2,19,5.333333,FALSE
36,2,9,0,FALSE
5826,0.967949,837,6.559633,FALSE
0,0.666667,84,19.5,FALSE
0,0.5,64,19.666667,FALSE
27,0.844444,79,6.4,FALSE
1,0.333333,70,8.857143,FALSE
1,0.5,26,7.333333,FALSE
39,0.8,333,28.909091,FALSE
4,0.484848,148,11.083333,FALSE
1,2,19,8.5,FALSE
4,0.666667,26,5.25,FALSE
28,2,110,12.75,FALSE
0,0.363636,149,11.25,FALSE
45,1.111111,11,0,FALSE
8,2,110,12.75,FALSE
0,2,4,3,FALSE
0,0,143,19.285714,FALSE
1,2,15,6.5,FALSE
67,0.873016,384,16.181818,FALSE
3,2,59,18.666667,FALSE
0,0.25,84,15.4,FALSE
0,0.333333,164,39.75,FALSE
3,2,16,4.333333,FALSE
0,2,6,5,FALSE
15,2,34,4.666667,FALSE
0,0.5,67,6.222222,FALSE
0,0,67,20,FALSE
6,2,43,9.75,FALSE
3,2,3,0,FALSE
0,0.817582,914,24.027778,FALSE
903,1.02381,51,0,FALSE
3,2,40,12.333333,FALSE
1,2,50,24,FALSE
6,1,30,6,FALSE
6,2,4,0,FALSE
45,2,341,33.1,FALSE
3,2,24,7,FALSE
1,2,103,49.5,FALSE
0,0.25,2423,483.4,FALSE
3,0.6,332,54,FALSE
55,2,11,0,FALSE
1,2,13,5.5,FALSE
666,2,37,0,FALSE
3,2,271,89.333333,FALSE
0,0.809524,255,29.75,FALSE
0,0,144,34.75,FALSE
0,0.166667,93,21.75,FALSE
0,2,111,88,FALSE
0,0.142857,135,15.625,FALSE
1,2,2,0,FALSE
2147,0.882716,2845,33.5,FALSE
0,0.472222,180,16.6,FALSE
64,0.981818,586,47.416667,FALSE
0,0.083333,98,12.714286,FALSE
3,2,25,7.333333,FALSE
0,0.333333,23,4.5,FALSE
1,1,25,6.666667,FALSE
3,2,18,5,FALSE
0,0.5,101,10,FALSE
6,2,4,0,FALSE
185,0.52381,728,32.045455,FALSE
36,2,85,8.444444,FALSE
0,2,1,0,FALSE
3,0.4,60,8.833333,FALSE
0,0.2,632,56.181818,FALSE
2,0.666667,29,5.75,FALSE
121,0.680272,943,41.545455,FALSE
3,2,10,2.333333,FALSE
1,2,12,5,FALSE
1,1,47,18,FALSE
3,2,37,11.333333,FALSE
1,2,42,13,FALSE
0,0.416667,175,23.714286,FALSE
0,2,7,6,FALSE
0,0.833333,127,30.25,FALSE
1,2,7,2.5,FALSE
3,2,169,55.333333,FALSE
5,0.733333,321,44.142857,FALSE
0,0.083333,524,129,FALSE
0,0.25,149,28.4,FALSE
53,0.9,90,7.090909,FALSE
3,2,61,19.333333,FALSE
3,2,107,34.666667,FALSE
17,0.777778,106,9.1,FALSE
5,0.8,47,6,FALSE
0,2,1,0,FALSE
3,2,25,7.333333,FALSE
31,0.810458,1125,61,FALSE
0,0.083333,282,39,FALSE
1,2,13,5.5,FALSE
0,2,5,4,FALSE
7,0.458333,275,37.714286,FALSE
10,2,56,10.2,FALSE
0,0.25,149,28.4,FALSE
4,1.095238,357,86.5,FALSE
19,0.75,138,11,FALSE
0,0.142857,135,15.625,FALSE
1,2,39,18.5,FALSE
0,0.633333,360,31.181818,FALSE
0,0,47,4.75,FALSE
0,0,115,15.285714,FALSE
3240,1.0125,266,2.271605,FALSE
0,2,4,3,FALSE
0,0.214286,105,11.875,FALSE
1,0.75,499,69.714286,FALSE
0,0,62,19.333333,FALSE
115,0.838235,238,12,FALSE
10,2,8,0.6,FALSE
3,2,25,7.333333,FALSE
189,0.942857,179,6.681818,FALSE
1,2,44,21,FALSE
0,0.333333,301,22,FALSE
3,2,40,12.333333,FALSE
66,1.090909,13,0,FALSE
188,0.947368,312,14.25,FALSE
21,2,452,63.571429,FALSE
0,0.55,127,10.363636,FALSE
6,0.660714,399,47.875,FALSE
24,2,153,11.75,FALSE
36,2,82,8.111111,FALSE
1,2,17,7.5,FALSE
15,2,282,46,FALSE
0,0.559524,460,19.363636,FALSE
1,2,61,29.5,FALSE
105,2,15,0,FALSE
21,1,30,3,FALSE
91,2,14,0,FALSE
3,2,131,42.666667,FALSE
0,0.416667,237,45.8,FALSE
1,0.5,349,115,FALSE
0,0.733333,88,13.166667,FALSE
1,2,16,7,FALSE
0,0.75,100,31.666667,FALSE
1,2,65,31.5,FALSE
1,0.5,26,7.333333,FALSE
34,0.826389,289,20.307692,FALSE
0,0,24,6.666667,FALSE
1,2,2,0,FALSE
0,0.5,116,10.4,FALSE
31,0.717949,344,23.142857,FALSE
1,0.5,37,11,FALSE
1,2,87,42.5,FALSE
1,2,21,9.5,FALSE
1,2,10,4,FALSE
268,0.562963,732,24.964286,FALSE
0,0.333333,437,42.4,FALSE
3,1.015345,485,20.833333,FALSE
0,0.625,109,10.777778,FALSE
28,2,8,0,FALSE
188,2,298,13.9,FALSE
8,0.5,92,17.2,FALSE
3,2,19,5.333333,FALSE
0,0.142857,241,29,FALSE
0,2,1,0,FALSE
6,2,20,4,FALSE
10,2,5,0,FALSE
153,2,268,13.888889,FALSE
29,0.769231,546,37.642857,FALSE
1,0.5,44,12.666667,FALSE
0,2,28,21,FALSE
0,0.166667,246,80,FALSE
0,2,111,88,FALSE
0,2,0,0,FALSE
64,0.981818,586,47.416667,FALSE
0,0.892857,353,37.444444,FALSE
0,0,106,14,FALSE
1,2,13,5.5,FALSE
4,0.5,233,45.4,FALSE
0,2,1,0,FALSE
3,2,30,9,FALSE
0,2,5,4,FALSE
0,0.5,118,15.571429,FALSE
3,2,30,9,FALSE
0,0,63,19.666667,FALSE
1,2,213,105.5,FALSE
0,2,1,0,FALSE
3,2,10,2.333333,FALSE
1009,0.966667,245,4.195652,FALSE
7,0.666667,196,26.571429,FALSE
4,0.625,157,30,FALSE
6,2,92,22,FALSE
3,0.611111,807,79.1,FALSE
1,0.5,614,203.333333,FALSE
42,0.625,339,24.923077,FALSE
3,0.4,183,29.333333,FALSE
0,0.65,330,64,FALSE
3,1.5,124,40,FALSE
0,0.62963,99,8.6,FALSE
15,2,160,25.666667,FALSE
0,0.840643,598,9.103448,FALSE
440,0.79321,812,20.459459,FALSE
714,0.739394,839,13.875,FALSE
4,0.666667,26,5.25,FALSE
440,0.79321,812,20.459459,FALSE
79,1.030769,805,55.785714,FALSE
2,0.666667,29,5.75,FALSE
4,0.75,127,22.8,FALSE
30,0.75,619,67.333333,FALSE
0,0.40625,117,11.555556,FALSE
0,1.211538,391,69.4,FALSE
6,2,161,39.25,FALSE
199,0.571429,466,20.136364,FALSE
0,2,5,4,FALSE
10,2,186,36.2,FALSE
10,2,74,13.8,FALSE
0,0.5,32,9,FALSE
1,2,15,6.5,FALSE
1,1.423077,3769,1251,FALSE
92,0.888889,133,6.9375,FALSE
3,2,10,2.333333,FALSE
53,0.8,125,10.272727,FALSE
607,0.9,1849,47.394737,FALSE
3,2,169,55.333333,FALSE
1,2,2,0,FALSE
6,2,153,37.25,FALSE
1,1,25,6.666667,FALSE
0,0,47,4.75,FALSE
0,2,0,0,FALSE
0,2,0,0,FALSE
1,2,7,2.5,FALSE
2539,0.966051,1136,14.040541,FALSE
52,0.840909,96,6.666667,FALSE
375,0.780488,2044,47.380952,FALSE
1,2,39,18.5,FALSE
190,0.936455,912,36.458333,FALSE
1,2,13,5.5,FALSE
15,2,58,8.666667,FALSE
0,2,1,0,FALSE
11,0.611111,395,55,FALSE
3,0.56,424,68.833333,FALSE
3,2,56,17.666667,FALSE
1,0.75,499,69.714286,FALSE
6,1,30,6,FALSE
0,0.666667,84,19.5,FALSE
3,2,242,79.666667,FALSE
58,0.666667,260,18.923077,FALSE
0,0.375,177,34,FALSE
3,2,31,9.333333,FALSE
9,0.5,55,6.714286,FALSE
0,0.666667,28,5.25,FALSE
6,2,43,9.75,FALSE
3,2,6,1,FALSE
0,0.4375,119,22,FALSE
6,2,81,19.25,FALSE
0,0,41,7,FALSE
1,2,2,0,FALSE
3,2,10,2.333333,FALSE
0,0.40625,117,11.555556,FALSE
0,0.628571,212,24.875,FALSE
1026,0.895161,1204,21.132075,FALSE
0,2,1,0,FALSE
28,2,31,2.875,FALSE
0,0.636364,179,41,FALSE
0,2,1,0,FALSE
4,0.5,225,43.8,FALSE
0,0,35,15.5,FALSE
0,0.25,84,15.4,FALSE
1,1,14,5.5,FALSE
0,0.25,432,60.142857,FALSE
0,2,6,5,FALSE
37,0.777778,64,5,FALSE
1,2,15,6.5,FALSE
36,2,28,2.111111,FALSE
17,0.788889,665,64.5,FALSE
171,2,19,0,FALSE
0,2,2,0,FALSE
0,0,155,21,FALSE
10,2,56,10.2,FALSE
1,1,25,6.666667,FALSE
3,2,169,55.333333,FALSE
15,1.2,18,0,FALSE
3,2,18,5,FALSE
0,0.3,69,10.166667,FALSE
3,2,41,12.666667,FALSE
10,2,30,5,FALSE
0,0.25,42,7.2,FALSE
3,2,23,6.666667,FALSE
15,0.7,228,19.454545,FALSE
10,2,107,20.4,FALSE
0,2,5,4,FALSE
28,1.142857,327,39.375,FALSE
71,0.706349,827,36.045455,FALSE
0,0,47,4.75,FALSE
207,0.62069,494,15.3,FALSE
0,2,5,3,FALSE
3,2,9,2,FALSE
0,0.444444,146,34.75,FALSE
374,1,422,14.035714,FALSE
0,0.269231,332,22.571429,FALSE
27,0.888889,87,6.9,FALSE
13,0.8,41,5.666667,FALSE
1,2,15,6.5,FALSE
0,2,36,28,FALSE
257,0.802885,454,15.518519,FALSE
0,2,10,3,FALSE
3,2,30,9,FALSE
64,0.981818,586,47.416667,FALSE
0,0,143,19.285714,FALSE
64,0.981818,586,47.416667,FALSE
1,1.3,875,289,FALSE
36,2,9,0,FALSE
19,0.75,244,12.333333,FALSE
0,0,67,20,FALSE
0,0,23,10,FALSE
151,1,286,14,FALSE
1,2,2,0,FALSE
1,1.423077,3769,1251,FALSE
0,0.55,127,10.363636,FALSE
28,2,8,0,FALSE
1,2,11,4.5,FALSE
24,0.53125,311,33.111111,FALSE
8,1,108,20.2,FALSE
10,2,305,60,FALSE
0,0.25,27,4.2,FALSE
3,0.6,33,4.166667,FALSE
0,0,29,12,FALSE
0,2,4,3,FALSE
337,0.894661,1704,48.5,FALSE
0,0,37,8,FALSE
0,0,22,6,FALSE
0,0.333333,213,34,FALSE
0,0,18,7.5,FALSE
0,0.111111,58,4.7,FALSE
219,0.972789,2261,101.136364,FALSE
22,0.75,214,22.444444,FALSE
0,2,5,4,FALSE
370,1,533,18,FALSE
1,1,47,18,FALSE
21,2,258,35.857143,FALSE
1,2,39,18.5,FALSE
1,2,12,5,FALSE
0,0.666667,84,19.5,FALSE
38,0.944444,265,18.923077,FALSE
91,0.857143,181,10.933333,FALSE
1,2,50,24,FALSE
1,2,13,5.5,FALSE
0,0.814815,242,32.285714,FALSE
99,0.907407,335,16,FALSE
1,2,42,13,FALSE
1,2,13,5.5,FALSE
27,0.596154,749,51.071429,FALSE
3,2,6,1,FALSE
3,2,24,7,FALSE
0,2,0,0,FALSE
1,0.5,599,198.333333,FALSE
0,0.25,72,13.2,FALSE
54,0.454545,139,10.5,FALSE
49,0.833333,139,7.866667,FALSE
6,2,113,27.25,FALSE
0,0,67,20,FALSE
0,0.214286,105,11.875,FALSE
231,2,22,0,FALSE
3,2,62,19.666667,FALSE
0,2,5,4,FALSE
0,2,1,0,FALSE
0,0,74,9.428571,FALSE
0,0.269231,332,22.571429,FALSE
3,2,3,0,FALSE
0,2,1,0,FALSE
1,2,27,12.5,FALSE
3,2,37,11.333333,FALSE
0,0.142857,241,29,FALSE
120,2,229,13.3125,FALSE
1,2,23,10.5,FALSE
3,2,16,4.333333,FALSE
16,0.785714,680,73.777778,FALSE
4,0.571429,75,8.125,FALSE
53,0.785714,164,9.6,FALSE
0,0,48,14.666667,FALSE
15,1.133333,273,44,FALSE
0,0,119,38.333333,FALSE
1,0.75,499,69.714286,FALSE
1,1,118,57,FALSE
214,0.891667,494,18.36,FALSE
7,0.806667,324,27.090909,FALSE
10,2,305,60,FALSE
0,2,5,4,FALSE
0,2,1,0,FALSE
1,2,73,35.5,FALSE
3,2,37,11.333333,FALSE
3,2,176,57.666667,FALSE
0,2,5,4,FALSE
3,2,245,80.666667,FALSE
1,1.423077,3769,1251,FALSE
1,2,9,3.5,FALSE
5942,0.798319,1019,7.466667,FALSE
0,0,35,15.5,FALSE
0,0.65,57,7.833333,FALSE
10,2,45,8,FALSE
0,2,1,0,FALSE
3,2,281,45.833333,FALSE
0,0,143,19.285714,FALSE
0,2,188,0,FALSE
4,0.5,224,43.6,FALSE
15,1.2,18,0,FALSE
0,0.666667,272,23.181818,FALSE
0,0.333333,23,4.5,FALSE
0,2,4,0,FALSE
36,1.125,19,0,FALSE
10,2,85,16,FALSE
55,2,79,6.181818,FALSE
1,2,35,16.5,FALSE
45,1.111111,11,0,FALSE
53,0.9,90,7.090909,FALSE
0,0,29,12,FALSE
23,0.64,135,10.818182,FALSE
1,1.3,875,289,FALSE
0,0,82,15.2,FALSE
3,2,40,12.333333,FALSE
0,0.694444,168,11.692308,FALSE
0,0.363636,149,11.25,FALSE
1,2,6,2,FALSE
0,0.384615,165,10.571429,FALSE
0,0.681818,365,28.583333,FALSE
0,0.2,94,14.5,FALSE
343,2,514,18.037037,FALSE
3,2,24,7,FALSE
0,0.333333,240,58,FALSE
121,0.852381,485,20.590909,FALSE
3,0.56,424,68.833333,FALSE
0,2,0,0,FALSE
0,0.416667,146,19.571429,FALSE
0,2,4,0,FALSE
2607,0.966779,1155,14.08,FALSE
0,0.5,106,10.555556,FALSE
0,0.166667,93,21.75,FALSE
0,0.4,110,51.5,FALSE
