"X","version","wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","Original.Release","Faultiness","Order"
1,"2.4.0",16,3,0,6,52,112,1,5,11,0.777777778,509,1,0,0.74,0.344444444,2,8,30.625,1,0.8125,0,"xalan-2.4",FALSE,"FIRST"
2,"2.4.0",12,2,14,23,23,0,17,8,12,0.363636364,149,1,2,0.731707317,0.21875,1,7,11.25,5,1.5833,0,"xalan-2.4",FALSE,"FIRST"
3,"2.4.0",53,1,0,34,150,1362,22,15,49,1.001602564,2089,0.375,0,0,0.125,0,0,37.96226415,49,4.3962,1,"xalan-2.4",TRUE,"FIRST"
4,"2.4.0",49,3,2,43,100,1176,34,12,46,1,743,0,1,0.606837607,0.122222222,3,21,14.14285714,16,1.8571,0,"xalan-2.4",FALSE,"FIRST"
5,"2.4.0",1,1,0,5,1,0,5,1,1,2,1,0,0,0,1,0,0,0,1,1,0,"xalan-2.4",FALSE,"FIRST"
6,"2.4.0",9,1,0,8,9,36,7,1,9,2,9,0,0,0,0.333333333,0,0,0,1,1,0,"xalan-2.4",FALSE,"FIRST"
7,"2.4.0",7,4,0,18,28,15,4,14,6,0.5,166,1,0,0.97309417,0.314285714,4,7,22.57142857,1,0.8571,1,"xalan-2.4",TRUE,"FIRST"
8,"2.4.0",8,3,0,4,22,28,1,3,7,2,177,0,0,0.860465116,0.375,2,4,21.125,1,0.75,0,"xalan-2.4",FALSE,"FIRST"
9,"2.4.0",8,1,0,1,8,28,0,1,8,2,8,0,0,0,0.28125,0,0,0,1,1,0,"xalan-2.4",FALSE,"FIRST"
10,"2.4.0",5,2,0,3,16,4,1,2,5,0,129,1,0,0.851851852,0.4,0,0,24.4,5,1.6,0,"xalan-2.4",FALSE,"FIRST"
11,"2.4.0",5,1,0,1,6,0,1,0,5,0.25,32,1,0,0,0.533333333,1,1,5.2,2,0.8,0,"xalan-2.4",FALSE,"FIRST"
12,"2.4.0",33,1,10,113,53,526,103,21,32,0.998046875,300,0,16,0,0.234375,0,0,7.606060606,2,1,0,"xalan-2.4",FALSE,"FIRST"
13,"2.4.0",7,1,0,7,18,0,3,6,5,0.5,155,0,1,0,0.458333333,0,0,20.85714286,4,1.4286,1,"xalan-2.4",TRUE,"FIRST"
14,"2.4.0",11,2,0,2,20,0,1,1,9,0.2,632,1,0,0.590909091,0.381818182,1,2,56.18181818,1,0.8182,0,"xalan-2.4",FALSE,"FIRST"
15,"2.4.0",2,1,0,1,3,1,0,1,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,0,"xalan-2.4",FALSE,"FIRST"
16,"2.4.0",2,4,0,5,7,1,0,5,2,2,15,0,0,0.979591837,0.75,1,6,6.5,1,0.5,0,"xalan-2.4",FALSE,"FIRST"
17,"2.4.0",15,3,0,55,96,23,0,55,9,0.798319328,1308,1,8,0.811594203,0.214285714,2,3,85.06666667,14,3.1333,0,"xalan-2.4",FALSE,"FIRST"
18,"2.4.0",1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0,"xalan-2.4",FALSE,"FIRST"
19,"2.4.0",48,1,0,8,106,388,1,7,26,0.895702962,2321,0.901960784,2,0,0.236702128,0,0,46.29166667,21,1.8958,0,"xalan-2.4",FALSE,"FIRST"
20,"2.4.0",3,5,0,3,4,3,1,2,3,2,8,0,0,0.990697674,0.666666667,1,2,1.666666667,1,0.6667,0,"xalan-2.4",FALSE,"FIRST"
21,"2.4.0",9,1,0,3,24,0,2,2,0,0.892857143,353,0,1,0,0.62962963,0,0,37.44444444,3,1.4444,0,"xalan-2.4",FALSE,"FIRST"
22,"2.4.0",7,3,0,15,36,0,0,15,6,0.814814815,242,0.444444444,2,0.934210526,0.285714286,2,8,32.28571429,3,1.1429,0,"xalan-2.4",FALSE,"FIRST"
23,"2.4.0",16,2,0,4,24,120,2,2,14,2,229,0,0,0.821428571,0.3046875,1,7,13.3125,1,0.9375,0,"xalan-2.4",FALSE,"FIRST"
24,"2.4.0",4,1,0,67,4,6,67,0,4,2,4,0,0,0,0.583333333,0,0,0,1,1,0,"xalan-2.4",FALSE,"FIRST"
25,"2.4.0",6,3,0,10,44,15,0,10,5,1,615,0,0,0.615384615,0.375,3,6,101.1666667,7,2,2,"xalan-2.4",TRUE,"FIRST"
26,"2.4.0",5,1,1,17,6,10,15,2,5,2,8,0,0,0,0.4,0,0,0.6,1,0.8,0,"xalan-2.4",FALSE,"FIRST"
27,"2.4.0",5,3,0,4,17,10,0,4,5,2,74,0,0,0.98,0.466666667,2,5,13.8,16,3.8,0,"xalan-2.4",FALSE,"FIRST"
28,"2.4.0",8,3,0,1,21,28,1,0,7,1.142857143,273,0,0,0.857142857,0.225,0,0,17.375,2,0.875,0,"xalan-2.4",FALSE,"FIRST"
29,"2.4.0",5,5,0,13,23,4,1,13,3,0.75,251,1,2,0.968992248,0.44,1,5,48.4,10,3,1,"xalan-2.4",TRUE,"FIRST"
30,"2.4.0",0,1,0,6,0,0,5,1,0,2,188,0,0,0,0,0,0,0,0,0,0,"xalan-2.4",FALSE,"FIRST"
31,"2.4.0",14,1,0,15,36,39,3,12,14,0.826923077,343,0.75,0,0,0.196428571,0,0,22.64285714,2,1.0714,0,"xalan-2.4",FALSE,"FIRST"
32,"2.4.0",1,1,0,0,2,0,0,0,1,2,8,0,0,0,1,0,0,3,0,0,0,"xalan-2.4",FALSE,"FIRST"
33,"2.4.0",10,1,0,12,59,0,7,5,7,0.305555556,596,0.75,1,0,0.44,0,0,58.2,1,0.7,0,"xalan-2.4",FALSE,"FIRST"
34,"2.4.0",4,5,0,5,12,0,1,4,2,0.636363636,179,1,0,0.989528796,0.55,1,1,41,1,0.5,0,"xalan-2.4",FALSE,"FIRST"
35,"2.4.0",4,3,0,21,26,0,0,21,3,0.333333333,123,1,1,0.949152542,0.4,2,5,29.5,2,1,0,"xalan-2.4",FALSE,"FIRST"
