@relation xalanB

@attribute ﻿lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {TRUE,FALSE}

@data
10,0.566667,790,48.125,TRUE
0,0.625,153,20.285714,FALSE
1,2,13,5.5,FALSE
1,2,25,11.5,FALSE
0,0.333333,213,34,TRUE
763,0.902439,386,8.166667,TRUE
0,0.694444,168,11.692308,TRUE
0,0.78125,336,18.411765,TRUE
0,0.648148,301,28.5,TRUE
0,0.542857,498,60.625,TRUE
10,2,5,0,FALSE
117,0.803922,233,11.777778,FALSE
1,0.5,314,103.333333,TRUE
1,0.5,487,161,TRUE
64,0.981818,586,47.416667,FALSE
1,0.5,614,203.333333,TRUE
7,0.458333,272,37.285714,FALSE
0,0.557692,167,5.111111,FALSE
0,0.142857,217,100.5,FALSE
0,0,191,61.333333,FALSE
0,0.2,613,54.454545,TRUE
0,0.166667,76,17.5,FALSE
8,1.247951,4275,805.2,TRUE
1,0.5,234,76.666667,TRUE
192,2,484,18.36,TRUE
0,2,1,0,FALSE
6,2,4,0,FALSE
6,2,20,4,FALSE
0,2,1,0,FALSE
1,2,35,16.5,FALSE
1,0.5,234,76.666667,TRUE
0,0.666667,272,23.181818,FALSE
3,2,3,0,FALSE
1,0.5,314,103.333333,TRUE
1,2,12,5,FALSE
1,0.5,314,103.333333,TRUE
8,1.247951,4275,805.2,TRUE
1,2,13,5.5,FALSE
199,0.571429,466,20.136364,FALSE
64,0.981818,586,47.416667,FALSE
0,0,64,8,FALSE
27,0.888889,87,6.9,TRUE
0,2,4,3,FALSE
3,1.5,124,40,TRUE
0,2,6,5,FALSE
1,0.333333,75,9.571429,TRUE
3,2,6,1,FALSE
1,0.5,234,76.666667,TRUE
17,0.654321,425,40.6,TRUE
36,2,82,8.111111,FALSE
22,0.416667,330,24.307692,TRUE
0,2,6,5,FALSE
0,0.711111,205,18.5,FALSE
347,2,407,14.074074,FALSE
190,2,470,21.380952,FALSE
9,0.833333,52,5.571429,FALSE
1,0.5,599,198.333333,TRUE
1,0.5,614,203.333333,TRUE
15,0.7,228,19.454545,TRUE
0,0,29,12,FALSE
0,0,155,21,FALSE
0,0.640625,1655,55.517241,TRUE
1,2,34,16,FALSE
323,0.205882,571,15.285714,FALSE
742,0.883721,680,14.431818,TRUE
36,2,173,18.222222,TRUE
0,0.425,234,19.909091,FALSE
0,0.47619,195,22.625,FALSE
1,1.423077,3769,1251,TRUE
1,0.5,234,76.666667,TRUE
8,1.247951,4275,805.2,TRUE
0,0.416667,237,45.8,FALSE
9,0.6,49,7,FALSE
0,0,51,15.666667,FALSE
1,2,11,4.5,FALSE
573,0.755102,1173,25.953488,TRUE
315,0.884444,1122,41.807692,TRUE
0,0.5,242,58.5,FALSE
64,0.981818,586,47.416667,TRUE
469,0.578947,198,4.051282,TRUE
64,0.981818,586,47.416667,FALSE
188,0.947368,326,15.25,TRUE
1,0.5,234,76.666667,TRUE
18,0.961039,120,12.625,FALSE
0,0,143,19.285714,TRUE
3,2,46,14.333333,FALSE
17,0.777778,106,9.1,FALSE
6,0.375,217,23,TRUE
0,0.833333,132,31.5,FALSE
6,0.375,123,12.555556,TRUE
3,0.777778,98,8.5,TRUE
46,0.6,563,34.0625,TRUE
0,0.633333,360,31.181818,TRUE
1,0.5,1248,414.666667,TRUE
0,2,11,7,TRUE
1,2,16,7,TRUE
0,2,4,3,FALSE
4,1,61,10,FALSE
254,0.892857,582,22,FALSE
2107,0.938127,1322,17.514286,TRUE
1,2,30,14,FALSE
53,0.9,90,7.090909,FALSE
0,2,10,9,TRUE
184,2,630,30.5,FALSE
0,0.166667,153,29,FALSE
9,0.833333,134,20.333333,TRUE
36,2,82,8.111111,FALSE
3,2,10,2.333333,TRUE
0,0,108,34.333333,FALSE
0,0.833333,84,25,FALSE
3,2,56,17.666667,FALSE
0,0,53,25,TRUE
0,0.333333,40,8.75,FALSE
3,2,245,80.666667,FALSE
21,2,7,0,FALSE
0,2,4,3,FALSE
8,1.247951,4275,805.2,TRUE
0,1.192308,84,10.6,TRUE
8,1.247984,4331,815.6,TRUE
207,0.711538,363,12.296296,TRUE
16,0.791667,210,14.846154,TRUE
1,2,44,21,FALSE
1,2,26,12,FALSE
35,0.8,85,6.454545,FALSE
36,2,82,8.111111,FALSE
1,2,10,4,TRUE
1,2,70,34,FALSE
3,2,10,2.333333,FALSE
2,0.333333,151,28.6,TRUE
0,0.3,69,10.166667,TRUE
0,0.5,133,42,FALSE
53,0.9,90,7.090909,FALSE
1,0.5,1014,336.666667,TRUE
1,0.518519,302,28.9,FALSE
36,2,82,8.111111,TRUE
3,2,176,57.666667,TRUE
6,2,49,11.25,TRUE
0,0,22,6,FALSE
15,1,85,13,TRUE
0,0.166667,156,21.142857,TRUE
83,0.6,332,16.210526,TRUE
14,0.583333,268,19.076923,FALSE
1,2,73,35.5,FALSE
1,2,30,14,FALSE
20,0.6875,593,64.666667,TRUE
0,0.513889,445,47.444444,FALSE
617,0.870813,1667,41.461538,TRUE
5301,0.944318,1851,15.459459,TRUE
0,0.333333,836,68.416667,TRUE
0,2,14,0,FALSE
0,0.285714,253,30.375,FALSE
133,2,271,14.055556,FALSE
6,2,4,0,FALSE
3,0.4,60,8.833333,TRUE
311,0.978632,432,14,TRUE
36,2,9,0,TRUE
1,2,15,6.5,FALSE
0,2,1,0,FALSE
1,0.5,1248,414.666667,TRUE
0,0.833333,62,14,FALSE
42,0.625,339,24.923077,TRUE
0,2,5,4,FALSE
5992,0.794444,1009,7.31405,TRUE
1655,0.957992,2554,39.677419,FALSE
64,0.981818,586,47.416667,FALSE
1,0.583333,297,41.142857,TRUE
1,0.5,234,76.666667,TRUE
8,0.5,59,10.6,FALSE
6045,0.968531,842,6.468468,TRUE
5,0.733333,321,44.142857,TRUE
78,2,40,2.076923,FALSE
0,0,65,8.142857,TRUE
1,0.5,1248,414.666667,TRUE
37,0.636364,455,22.368421,TRUE
0,2,5,4,FALSE
91,0.811688,833,53.066667,TRUE
1,2,87,42.5,FALSE
157,0.993827,96,3.578947,TRUE
1,0.5,44,12.666667,FALSE
53,0.9,90,7.090909,FALSE
0,0.25,269,52.6,FALSE
0,0.858333,786,84.666667,TRUE
0,2,12,9,FALSE
37,0.916667,141,10.727273,FALSE
6,2,64,15,FALSE
0,0.5,162,52,TRUE
0,0.333333,25,5,FALSE
322,0.901442,1758,51.484848,TRUE
0,0.333333,44,9.75,FALSE
8,0.552632,901,43.55,TRUE
0,2,1,0,TRUE
1771,0.931515,958,12.925373,TRUE
0,2,5,4,FALSE
9,1.026087,388,59.833333,TRUE
10,2,5,0,FALSE
1016,0.851307,665,11.557692,TRUE
37,0.777778,64,5,FALSE
4,0.5,38,6.4,FALSE
1,2,137,67.5,FALSE
0,0.8,124,19.166667,TRUE
0,0,115,15.285714,FALSE
0,2,10,3,FALSE
0,0.817582,914,24.027778,TRUE
64,0.916667,699,52.307692,TRUE
0,2,1,0,TRUE
0,0.40625,117,11.555556,TRUE
6,1.333333,425,100.75,TRUE
2,0.666667,29,5.75,TRUE
3,2,267,88,TRUE
3,2,274,44.666667,TRUE
472,0.977679,611,17.30303,TRUE
1198,0.910714,1198,19.807018,TRUE
370,1,533,18,TRUE
1,1.5,43,13,TRUE
3,1.5,17,4.333333,TRUE
0,0.65,375,60.833333,TRUE
1,0.553571,477,30.533333,TRUE
53,0.8,125,10.272727,TRUE
0,0.714286,122,14,TRUE
0,2,17,12,TRUE
3,1.5,25,7,TRUE
3,2,131,42.666667,TRUE
25,0.833333,520,50.6,TRUE
6,1.333333,4270,1005.75,TRUE
1,2,229,113.5,TRUE
79,1.030769,805,55.785714,TRUE
1,2,109,53.5,TRUE
16,0.785714,680,73.777778,TRUE
120,0.910931,404,18.55,TRUE
10,0.566667,921,56.3125,TRUE
0,0.625,153,20.285714,TRUE
1,2,14,5.5,TRUE
3,2,22,6.333333,FALSE
8413,0.950365,3670,25.268116,TRUE
64,0.854167,107,6.923077,TRUE
64,0.916667,699,52.307692,TRUE
189,0.952381,182,6.772727,TRUE
0,0.5,122,16,TRUE
36,2,204,21.666667,TRUE
0,0.257143,623,76.25,TRUE
117,0.803922,233,11.777778,TRUE
1,2,315,156.5,TRUE
1,2,506,252,TRUE
3,0.611111,269,37,TRUE
7,0.458333,272,37.285714,TRUE
0,0.717949,168,5.111111,TRUE
0,0.142857,217,100.5,TRUE
148,0.857708,583,22.833333,TRUE
0,0.416667,87,19.75,TRUE
49,0.538462,304,20.571429,TRUE
0,2,28,21,TRUE
