@relation xalanA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z126.5256798

@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
0,0.25,129,24.4,FALSE
55,2,79,6.181818,FALSE
4,0.5,233,45.4,FALSE
1,1,14,5.5,FALSE
0,0.5,199,27.142857,FALSE
1,0.5,614,203.333333,FALSE
0,2,4,3,FALSE
0,2,4,0,FALSE
10,2,5,0,FALSE
3,2,24,7,FALSE
15,0.833333,189,25.714286,FALSE
0,0.333333,44,9.75,FALSE
0,0.35,123,21.6,FALSE
1,2,13,5.5,FALSE
0,0.214286,105,11.875,FALSE
2,0.625,107,20,FALSE
171,2,19,0,FALSE
5,0.733333,321,44.142857,FALSE
1,0.5,595,197,FALSE
0,2,4,3,FALSE
0,0.666667,121,10.7,FALSE
1,2,9,3.5,FALSE
0,0.817582,914,24.027778,FALSE
64,0.981818,586,47.416667,FALSE
0,0.636364,179,41,FALSE
2129,0.868056,3012,35.536585,FALSE
1,2,42,13,FALSE
1,2,2,0,FALSE
0,1.269231,80,12.5,FALSE
17,0.788889,665,64.5,FALSE
3,2,9,2,FALSE
1,0.75,499,69.714286,FALSE
0,2,1,0,FALSE
0,2,1,0,FALSE
0,2,111,88,FALSE
0,0,29,12,FALSE
0,0,48,14.666667,FALSE
1,0.553571,477,30.533333,FALSE
36,2,9,0,FALSE
1,1,38,16,FALSE
3,0.86,292,46,FALSE
1,2,15,6.5,FALSE
0,0.35,123,21.6,FALSE
1,2,44,21,FALSE
0,2,1,0,FALSE
66,2,12,0,FALSE
0,0.081081,267,6,FALSE
0,0.333333,44,9.75,FALSE
0,0.416667,146,19.571429,FALSE
0,2,1,0,FALSE
0,0.285714,117,13.5,FALSE
819,0.95393,465,9.857143,FALSE
105,2,15,0,FALSE
0,0,62,19.333333,FALSE
1,2,15,6.5,FALSE
1,2,42,13,FALSE
0,0.447368,186,8.2,FALSE
6,2,243,59.75,FALSE
21,2,158,21.571429,FALSE
0,0,143,19.285714,FALSE
53,0.9,90,7.090909,FALSE
16,0.785714,680,73.777778,FALSE
4,0.25,126,23.8,FALSE
4,0.484848,148,11.083333,FALSE
1,0.5,107,34,FALSE
300,1.041667,28,0,FALSE
6,2,157,38.25,FALSE
607,0.9,1849,47.394737,FALSE
64,0.981818,586,47.416667,FALSE
4,0.5,267,52.2,FALSE
83,0.821429,210,12.866667,FALSE
0,2,1,0,FALSE
8,0.541667,257,18.615385,FALSE
13,0.8,41,5.666667,FALSE
0,2,4,3,FALSE
1,2,9,3.5,FALSE
0,2,1,0,FALSE
0,0,29,12,FALSE
3,2,16,4.333333,FALSE
0,0,35,15.5,FALSE
0,0.5,118,15.571429,FALSE
0,0.543478,486,19.083333,FALSE
6,2,59,13.75,FALSE
0,0.5,242,58.5,FALSE
0,0.809524,255,29.75,FALSE
0,0,51,15.666667,FALSE
0,0.269231,332,22.571429,FALSE
28,1.142857,327,39.375,FALSE
0,2,4,3,FALSE
0,0.25,27,4.2,FALSE
5,0.714286,248,20.272727,FALSE
6,0.602273,245,18.75,FALSE
0,0.444444,152,36.25,FALSE
526,0.998047,300,7.606061,FALSE
4,0.484848,148,11.083333,FALSE
2,0.333333,475,117.25,FALSE
3,2,56,17.666667,FALSE
0,2,1,0,FALSE
2,0.333333,475,117.25,FALSE
2,0.625,107,20,FALSE
0,0.5,176,33.8,FALSE
15,0.333333,282,39.142857,FALSE
0,0.694444,168,11.692308,FALSE
0,0,37,8,FALSE
2,0.666667,29,5.75,FALSE
343,2,514,18.037037,FALSE
4,0.25,126,23.8,FALSE
2,0.666667,29,5.75,FALSE
1,2,17,0,FALSE
0,0.5,289,46.5,FALSE
0,2,12,9,FALSE
0,2,5,4,FALSE
53,0.785714,164,9.6,FALSE
0,2,1,0,FALSE
0,0.566667,120,9.636364,FALSE
15,2,34,4.666667,FALSE
309,0.84755,2953,96.8,FALSE
0,1.269231,80,12.5,FALSE
55,2,11,0,FALSE
6,2,20,4,FALSE
74,0.6,225,12.9375,FALSE
0,0.333333,23,4.5,FALSE
15,2,369,60.5,FALSE
22,0.75,158,16.222222,FALSE
0,0.625,109,10.777778,FALSE
0,0.166667,93,21.75,FALSE
4474,0.941667,2010,19.463918,FALSE
1,1.3,875,289,FALSE
0,2,1,0,FALSE
0,0.2,88,6.909091,FALSE
0,2,6,5,FALSE
36,2,69,6.666667,FALSE
14,0.983516,460,53.25,FALSE
2,0.333333,475,117.25,FALSE
0,0.733333,88,13.166667,FALSE
1,2,44,21,FALSE
1,2,19,8.5,FALSE
1,0.553571,483,30.933333,FALSE
2129,0.868056,3012,35.536585,FALSE
0,2,0,0,FALSE
24,0.708333,143,14.555556,FALSE
3,2,37,11.333333,FALSE
16,0.785714,680,73.777778,FALSE
28,2,82,9.25,FALSE
5942,0.798319,1019,7.466667,FALSE
66,1.090909,13,0,FALSE
0,2,0,0,FALSE
66,1.090909,13,0,FALSE
105,2,15,0,FALSE
3,0.6,314,51,FALSE
5671,2,648,5.056075,FALSE
0,0,25,11,FALSE
1,2,7,2.5,FALSE
1,2,13,5.5,FALSE
0,0,155,21,FALSE
1,2,13,5.5,FALSE
1,1.3,875,289,FALSE
1,2,17,0,FALSE
0,0.833333,127,30.25,FALSE
0,0.5,289,46.5,FALSE
188,2,298,13.9,FALSE
57,0.666667,154,7,FALSE
1,1.423077,3769,1251,FALSE
343,2,514,18.037037,FALSE
1,2,2,0,FALSE
0,0.333333,62,14,FALSE
0,0.5,118,15.571429,FALSE
10,2,183,35.6,FALSE
1,2,13,5.5,FALSE
185,0.52381,728,32.045455,FALSE
0,2,338,3,FALSE
16,0.785714,680,73.777778,FALSE
112,0.777778,509,30.625,FALSE
4,2,63,14.75,FALSE
0,2,338,3,FALSE
0,0.75,469,13.030303,FALSE
2,0.666667,29,5.75,FALSE
4,0.25,126,23.8,FALSE
3,2,19,5.333333,FALSE
39,0.8,333,28.909091,FALSE
54,0.9,119,7.384615,FALSE
9,0.5,55,6.714286,FALSE
0,0,25,11,FALSE
0,2,1,0,FALSE
3,2,24,7,FALSE
0,0.333333,240,58,FALSE
1,2,50,24,FALSE
0,0.214286,105,11.875,FALSE
1,2,145,71.5,FALSE
1,2,2,0,FALSE
181,0.979798,3198,137.652174,FALSE
0,2,1,0,FALSE
0,0.25,129,24.6,FALSE
19,0.75,138,11,FALSE
11,0.611111,395,55,FALSE
69,0.836735,442,28,FALSE
3,2,25,7.333333,FALSE
3,2,152,49.666667,FALSE
903,1.02381,51,0,FALSE
0,0.214286,105,11.875,FALSE
0,2,16,12,FALSE
10,2,5,0,FALSE
0,0.25,129,24.4,FALSE
31,0.810458,1125,61,FALSE
0,2,5,3,FALSE
28,1.142857,327,39.375,FALSE
6,0.916667,41,6.6,FALSE
23,0.555556,89,7.8,FALSE
1,2,145,71.5,FALSE
0,2,1,0,FALSE
0,2,4,3,FALSE
53,0.8,125,10.272727,FALSE
6,2,4,0,FALSE
0,2,36,28,FALSE
6,2,92,22,FALSE
0,2,1,0,FALSE
3,2,25,7.333333,FALSE
1,2,43,20.5,FALSE
0,0,29,12,FALSE
1,0.5,599,198.333333,FALSE
3,2,24,7,FALSE
3,2,37,11.333333,FALSE
1,2,10,0,FALSE
3,2,62,19.666667,FALSE
1,0.5,37,11,FALSE
3,2,131,42.666667,FALSE
0,2,4,3,FALSE
15,0.833333,189,25.714286,FALSE
27,0.844444,79,6.4,FALSE
0,0.666667,28,5.25,FALSE
10,2,107,20.4,FALSE
36,2,82,8.111111,FALSE
49,0.833333,139,7.866667,FALSE
0,2,28,21,FALSE
1,2,15,6.5,FALSE
0,2,4,0,FALSE
4,1.095238,360,87.25,FALSE
1,2,50,24,FALSE
0,0.111111,78,6.7,FALSE
0,2,11,7,FALSE
22,0.75,158,16.222222,FALSE
3240,1.0125,266,2.271605,FALSE
3,0.86,292,46,FALSE
21,2,158,21.571429,FALSE
0,2,0,0,FALSE
0,0.633333,360,31.181818,FALSE
190,0.936455,912,36.458333,FALSE
0,2,5,3,FALSE
64,0.981818,586,47.416667,FALSE
21,1,30,3,FALSE
3,2,33,10,FALSE
1,0.5,37,11,FALSE
1,0.553571,477,30.533333,FALSE
1,2,2,0,FALSE
4,0.5,38,6.4,FALSE
3,2,16,4.333333,FALSE
0,0.55,127,10.363636,FALSE
0,2,16,12,FALSE
15,2,34,4.666667,FALSE
211,0.619048,452,19.5,FALSE
309,0.84755,2953,96.8,FALSE
3,2,40,12.333333,FALSE
0,0.833333,62,14,FALSE
10,2,19,2.8,FALSE
0,0.392857,357,22.666667,FALSE
1,2,13,5.5,FALSE
36,1.125,19,0,FALSE
0,2,4,3,FALSE
69,0.836735,442,28,FALSE
6,0.916667,41,6.6,FALSE
0,0,29,12,FALSE
0,2,1,0,FALSE
36,2,82,8.111111,FALSE
6,2,92,22,FALSE
4,1.095238,360,87.25,FALSE
0,2,1,0,FALSE
0,0.543478,486,19.083333,FALSE
28,2,551,67.875,FALSE
0,2,0,0,FALSE
3,0.56,424,68.833333,FALSE
714,0.739394,839,13.875,FALSE
