@relation xalanA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F10-weka.filters.supervised.instance.Resample-B1.0-S1-Z73.63636364-no-replacement

@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute amc numeric
@attribute Faultiness {FALSE,TRUE}

@data
254,0.892857,582,22,FALSE
0,2,5,3,FALSE
10,2,19,2.8,FALSE
21,2,7,0,FALSE
64,0.981818,586,47.416667,FALSE
1,2,13,5.5,FALSE
0,0.52381,217,25.375,FALSE
36,2,85,8.444444,FALSE
10,2,305,60,FALSE
1,0.5,37,11,FALSE
0,2,1,0,FALSE
4,0.571429,75,8.125,FALSE
1,2,17,0,FALSE
0,2,12,9,FALSE
1,2,50,24,FALSE
1,2,70,34,FALSE
1,2,44,21,FALSE
0,0.333333,240,58,FALSE
13,0.735294,244,12.333333,FALSE
184,2,448,21.4,FALSE
0,0.166667,156,21.142857,FALSE
0,2,68,3,FALSE
19,0.833333,39,4.428571,FALSE
21,2,7,0,FALSE
36,2,9,0,FALSE
6,2,4,0,FALSE
208,0.95,317,14.047619,FALSE
0,0,35,15.5,FALSE
3,2,24,7,FALSE
53,0.9,90,7.090909,FALSE
36,2,82,8.111111,FALSE
42,0.625,345,25.384615,FALSE
3,2,22,6.333333,FALSE
3,2,281,45.833333,FALSE
1,2,28,13,FALSE
3,2,131,42.666667,FALSE
0,0.333333,123,29.5,FALSE
30,0.75,619,67.333333,FALSE
0,0.428571,208,24.75,FALSE
0,0.083333,98,12.714286,FALSE
1,1.3,875,289,FALSE
0,2,1,0,FALSE
0,0.55,127,10.363636,FALSE
3,2,24,7,FALSE
3,1.5,124,40,FALSE
1,2,13,5.5,FALSE
1009,0.966667,245,4.195652,FALSE
946,1.023256,52,0,FALSE
0,0,108,34.333333,FALSE
0,0.666667,152,17.25,FALSE
10,2,45,8,FALSE
1,1.423077,3769,1251,FALSE
0,0,24,6.666667,FALSE
45,2,116,10.6,FALSE
1,2,13,5.5,FALSE
0,2,0,0,FALSE
0,2,2,0,FALSE
0,0,47,4.75,FALSE
3,2,3,0,FALSE
4,0.666667,30,6.25,FALSE
0,0.25,129,24.4,FALSE
0,2,4,3,FALSE
28,2,110,12.75,FALSE
3,2,40,12.333333,FALSE
78,2,40,2.076923,FALSE
0,0.35,123,21.6,FALSE
0,0.076923,174,11.357143,FALSE
53,0.9,90,7.090909,FALSE
942,0.911765,942,16.884615,FALSE
0,0.166667,93,21.75,FALSE
1,1.423077,3769,1251,FALSE
0,0,191,61.333333,FALSE
3,2,176,57.666667,FALSE
1,2,7,2.5,FALSE
10,2,5,0,FALSE
6,2,94,22.5,FALSE
814,2,161,2.926829,FALSE
0,0.1,97,14.833333,FALSE
0,2,1,0,FALSE
0,0,85,9.5,FALSE
14,0.583333,268,19.076923,FALSE
1,0.5,1248,414.666667,TRUE
3,0.733333,303,24.909091,TRUE
4,0.5,22,3.2,TRUE
0,0.125,212,22.444444,TRUE
8,1.246296,2125,397,TRUE
0,0.166667,119,15.857143,TRUE
1,1.428571,1872,618.333333,TRUE
151,0.941176,274,14.166667,TRUE
222,0.855967,2480,87.25,TRUE
1224,0.895408,1289,21,TRUE
3,2,107,34.666667,TRUE
66,0.952899,1997,150.846154,TRUE
3,0.75,261,41.833333,TRUE
188,1.019737,859,41.55,TRUE
1,0.333333,75,9.571429,TRUE
0,0.45,286,24.636364,TRUE
6,2,64,15,TRUE
28,2,543,66.875,TRUE
0,0,25,11,TRUE
3,2,40,12.333333,TRUE
1,2,28,13,TRUE
15,2,12,1,TRUE
24,0.708333,143,14.555556,TRUE
607,0.9,1849,47.394737,TRUE
0,2,4,3,TRUE
64,1.015152,1693,139.083333,TRUE
0,0.3125,435,24.470588,TRUE
36,2,161,16.888889,TRUE
783,0.960784,1949,43.534884,TRUE
0,0.425,234,19.909091,TRUE
34,0.95,92,8.666667,TRUE
0,0.422414,933,29.966667,TRUE
