@relation xercesA-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {TRUE,FALSE}

@data
8,4,0,0,14,0,8,0.428571,0.45,0,0,1,TRUE
21,1,0,6,35,5,12,0.677273,0.271429,0,0,24,FALSE
1,1,0,4,1,1,1,2,1,0,0,1,FALSE
56,2,2,20,207,17,37,0.856643,0.183471,2,14,14,TRUE
5,2,0,3,8,3,5,1.25,0.466667,1,4,1,FALSE
4,1,0,13,4,4,4,1.333333,0.4,0,0,1,TRUE
9,2,0,7,23,4,2,0.375,0.416667,1,2,2,FALSE
10,1,0,6,19,1,1,0.066667,0.566667,0,0,7,FALSE
0,1,0,0,0,0,0,2,0,0,0,0,TRUE
2,1,0,0,2,0,2,2,1,0,0,1,TRUE
27,1,0,1,27,1,27,1.038462,0.277778,0,0,1,FALSE
7,1,0,7,8,6,7,2,0.265306,0,0,1,TRUE
8,1,0,6,17,3,8,0.653061,0.303571,0,0,2,FALSE
14,1,0,12,51,8,8,0.557692,0.241071,0,0,16,TRUE
11,2,2,6,26,4,10,1.05,0.477273,1,1,3,TRUE
4,3,0,6,9,5,0,0.380952,0.40625,1,3,1,FALSE
41,1,0,53,61,4,34,0.871875,0.3375,0,0,9,FALSE
4,1,0,12,8,7,4,1.333333,0.59375,0,0,1,FALSE
11,1,1,1,18,0,11,0.5,0.431818,0,0,1,FALSE
11,1,0,8,32,7,7,0.638462,0.25,0,0,14,FALSE
48,2,1,5,98,4,37,0.904255,0.145663,2,10,3,TRUE
4,3,0,6,28,6,1,0.666667,0.5,2,13,8,TRUE
47,1,11,29,87,14,34,0.910079,0.12709,0,0,31,TRUE
3,5,0,4,6,4,1,0.75,0.555556,3,22,2,FALSE
1,1,0,7,2,0,1,2,1,0,0,0,FALSE
7,2,1,5,10,3,7,0.944444,0.571429,1,3,3,FALSE
9,1,5,8,11,3,5,0.638889,0.466667,0,0,2,TRUE
2,3,0,8,4,0,2,2,0.75,0,0,0,FALSE
20,1,0,7,31,3,18,0.811146,0.28125,0,0,5,FALSE
19,1,0,9,34,5,13,0.688889,0.277778,0,0,11,FALSE
12,1,0,4,12,1,12,2,0.541667,0,0,1,FALSE
2,2,0,8,5,8,1,2,0.571429,0,0,1,FALSE
10,1,1,5,11,2,10,0.888889,0.4,0,0,1,TRUE
1,1,0,0,1,0,1,2,1,0,0,1,TRUE
29,2,0,9,57,8,22,0.485714,0.242857,1,2,4,TRUE
3,1,0,5,5,3,3,0,0.533333,0,0,1,FALSE
14,1,0,0,15,0,14,0.876923,0.392857,0,0,1,TRUE
2,3,0,8,4,0,2,2,0.75,0,0,0,FALSE
4,3,0,6,15,6,1,0.666667,0.5,2,16,4,TRUE
5,1,0,5,7,0,5,2,0.35,0,0,3,FALSE
1,1,0,7,1,0,1,2,1,0,0,1,FALSE
15,1,0,0,16,0,15,2,0.285714,0,0,1,TRUE
3,1,0,0,8,0,3,2,0.333333,0,0,1,TRUE
2,3,0,8,4,0,2,2,0.75,0,0,0,FALSE
8,1,0,11,38,9,3,0.781513,0.375,0,0,2,FALSE
3,1,0,9,15,8,3,0.5,0.458333,0,0,1,FALSE
3,1,0,5,5,3,3,0,0.6,0,0,1,FALSE
3,1,0,0,3,0,3,2,0.666667,0,0,1,TRUE
3,3,0,0,4,0,2,0.5,1,0,0,1,FALSE
6,2,0,6,14,3,1,0.2,0.416667,1,2,1,FALSE
9,1,3,8,11,2,0,0.825,0.518519,0,0,1,FALSE
1,4,0,0,2,0,1,2,1,0,0,0,TRUE
3,3,0,0,4,0,2,0.5,1,0,0,1,FALSE
5,1,0,6,14,1,4,1.154762,0.5,0,0,9,FALSE
2,3,0,9,4,0,2,2,0.75,0,0,0,FALSE
3,1,0,0,3,0,3,2,1,0,0,1,TRUE
127,1,0,40,255,39,72,0.947261,0.111479,0,0,21,TRUE
33,2,2,14,69,12,20,0.534722,0.1875,1,3,2,TRUE
4,3,0,6,18,6,1,0.666667,0.5,2,16,4,FALSE
1,1,0,2,1,2,1,2,1,0,0,1,FALSE
4,4,1,3,7,2,4,1.333333,0.4375,1,5,1,FALSE
23,1,0,6,23,1,23,2,0.376812,0,0,1,TRUE
0,1,0,0,0,0,0,2,0,0,0,0,TRUE
2,1,0,0,2,0,2,2,1,0,0,1,TRUE
12,1,0,0,28,0,12,0.5,0.19697,0,0,1,TRUE
18,1,0,0,18,0,18,1.058824,0.333333,0,0,1,TRUE
3,4,0,4,5,4,1,0.75,0.555556,2,16,1,FALSE
3,4,0,4,13,4,1,0.75,0.555556,3,22,9,FALSE
3,1,0,0,3,0,3,2,1,0,0,1,TRUE
5,2,0,6,11,3,1,0.25,0.45,1,2,1,FALSE
4,2,1,4,7,3,4,1.333333,0.5,1,3,1,FALSE
30,2,1,11,73,8,27,0.87931,0.34,1,13,6,TRUE
7,3,2,8,17,4,7,1,0.342857,1,5,2,FALSE
1,5,1,1,2,0,1,2,1,0,0,0,TRUE
0,1,0,0,0,0,0,2,0,0,0,0,TRUE
9,3,0,5,16,5,0,0.579545,0.366667,1,3,1,FALSE
12,1,0,0,24,0,12,0.30303,0.4375,0,0,2,TRUE
0,1,0,0,0,0,0,2,0,0,0,0,TRUE
5,1,0,3,9,1,5,0.166667,0.533333,0,0,4,FALSE
2,1,0,8,2,1,2,2,0.6,0,0,1,FALSE
12,1,0,5,23,4,8,0.670455,0.319444,0,0,11,TRUE
4,1,0,0,4,0,4,2,1,0,0,1,FALSE
6,2,1,3,10,2,6,1.2,0.416667,1,4,2,FALSE
6,3,3,0,8,0,6,0.1,0.555556,1,2,3,TRUE
3,1,0,0,5,0,2,0.5,0.5,0,0,1,TRUE
2,1,0,10,2,5,2,2,0.666667,0,0,1,FALSE
1,4,1,0,2,0,1,2,1,0,0,0,TRUE
46,1,0,4,115,4,27,0.838889,0.137778,0,0,19,FALSE
3,1,0,21,3,0,3,1.5,0.533333,0,0,1,TRUE
8,1,0,8,18,7,7,0.714286,0.25,0,0,1,FALSE
