@relation xercesB

@attribute ﻿wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute Faultiness {TRUE,FALSE}

@data
4,4,0,6,20,6,1,0.666667,0.5,3,11,6,TRUE
2,1,0,0,2,0,2,2,0.75,0,0,1,FALSE
13,4,0,2,21,2,13,2,0.403846,0,0,3,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
12,2,0,6,50,6,5,2,0.321429,1,9,10,TRUE
12,1,1,0,22,0,11,2,0.238095,0,0,1,FALSE
2,2,0,9,3,1,1,1,1,0,0,0,TRUE
16,1,0,0,16,0,16,2,0.5,0,0,1,FALSE
18,4,0,3,25,3,18,0.941176,0.481481,0,0,2,TRUE
2,1,0,2,2,1,2,2,0.75,0,0,1,TRUE
9,4,0,3,12,3,9,2,0.555556,1,5,1,TRUE
1,1,0,7,1,0,1,2,1,0,0,1,TRUE
19,4,0,3,24,3,19,2,0.394737,1,6,1,TRUE
32,1,0,16,80,14,29,0.850806,0.184751,0,0,1,TRUE
1,1,0,8,1,3,1,2,1,0,0,1,FALSE
1,4,0,5,2,0,1,2,1,0,0,0,TRUE
27,4,0,2,35,2,27,2,0.37963,0,0,3,TRUE
7,4,0,3,10,3,7,2,0.571429,1,6,1,TRUE
9,2,0,5,30,4,7,0.615385,0.301587,0,0,1,TRUE
13,1,0,0,13,0,13,2,0.461538,0,0,1,FALSE
3,1,0,2,5,1,2,1,0.75,0,0,3,TRUE
3,4,0,2,6,2,3,2,0.5,0,0,1,TRUE
18,2,1,7,82,5,11,0.529412,0.208556,1,8,2,TRUE
8,1,0,1,13,0,7,0.571429,0.5,0,0,1,TRUE
44,3,1,17,131,16,39,0.925581,0.101675,3,6,2,TRUE
2,1,0,0,2,0,2,2,0.75,0,0,1,FALSE
19,4,0,2,24,2,19,2,0.394737,0,0,1,TRUE
34,3,0,59,83,9,29,0.969697,0.284848,2,4,7,TRUE
12,1,6,14,18,6,11,0.936364,0.25,0,0,1,TRUE
15,4,0,3,38,2,15,2,0.32,1,1,6,TRUE
4,1,0,2,4,1,4,2,0.75,0,0,1,TRUE
6,1,0,0,6,0,6,2,0.75,0,0,1,FALSE
7,3,3,11,22,6,4,2,0.333333,0,0,1,TRUE
6,1,0,2,6,1,6,2,0.75,0,0,1,TRUE
3,1,0,0,3,0,3,2,0.666667,0,0,1,FALSE
10,1,1,3,21,2,8,0.488889,0.35,0,0,4,TRUE
25,1,0,57,66,39,17,0.901515,0.136111,0,0,3,TRUE
5,4,0,3,8,3,5,2,0.6,1,4,1,TRUE
1,1,0,3,1,2,1,2,1,0,0,1,TRUE
0,1,0,3,0,2,0,2,0,0,0,0,TRUE
5,3,2,2,7,0,5,2,0.6,0,0,1,TRUE
9,4,0,2,13,2,9,2,0.555556,1,1,1,TRUE
18,1,1,6,28,1,18,0.647059,0.179012,0,0,1,TRUE
5,1,0,0,5,0,5,2,0.7,0,0,1,FALSE
44,3,9,18,71,9,5,0.980897,0.193182,1,6,20,TRUE
38,1,0,0,38,0,38,2,0.355263,0,0,1,FALSE
0,1,0,5,0,2,0,2,0,0,0,0,TRUE
6,1,0,0,6,0,6,2,0.416667,0,0,1,FALSE
11,1,0,5,11,3,11,1.1,0.327273,0,0,1,TRUE
4,2,0,2,16,2,4,0.333333,0.583333,1,1,1,TRUE
2,1,0,2,2,1,2,2,0.75,0,0,1,TRUE
3,4,0,2,6,2,3,2,0.666667,0,0,1,TRUE
3,1,0,0,3,0,3,2,0.666667,0,0,1,TRUE
4,4,0,7,8,5,4,2,0.5,0,0,0,TRUE
1,1,0,3,1,2,1,2,1,0,0,1,TRUE
3,1,0,0,14,0,2,2,0.333333,0,0,1,TRUE
63,1,3,22,79,2,36,0.956576,0.147619,0,0,5,TRUE
5,2,0,4,12,2,2,0,0.45,1,2,2,TRUE
9,1,0,9,22,2,3,1.028846,0.31746,0,0,17,TRUE
4,3,0,6,16,6,1,0.666667,0.5,2,8,3,TRUE
3,4,1,3,4,2,3,1.5,0.555556,1,4,1,TRUE
18,1,1,0,19,0,18,2,0.285714,0,0,1,FALSE
3,3,0,4,10,4,1,0.75,0.555556,2,3,1,TRUE
2,1,0,0,2,0,2,2,1,0,0,1,FALSE
10,2,0,13,35,10,8,0.377778,0.3,1,2,4,TRUE
8,4,0,16,12,1,8,0.285714,0.4375,0,0,1,TRUE
12,1,0,6,12,4,12,1.090909,0.231481,0,0,1,FALSE
2,1,0,2,2,1,2,2,0.75,0,0,1,TRUE
3,4,0,2,7,2,3,2,0.666667,0,0,1,TRUE
4,1,0,6,6,1,4,0.964912,0.357143,0,0,3,TRUE
22,1,0,0,22,0,22,2,0.281818,0,0,1,FALSE
7,1,0,22,7,0,7,2,1,0,0,1,FALSE
3,1,0,5,3,1,3,2,0.666667,0,0,1,FALSE
42,1,0,3,67,1,29,0.780488,0.226481,0,0,33,TRUE
7,4,0,3,10,3,7,2,0.571429,1,6,1,TRUE
8,1,0,16,21,14,2,0.928571,0.3125,0,0,15,TRUE
11,4,0,3,14,3,11,2,0.545455,1,6,1,TRUE
1,1,0,4,2,1,1,2,1,0,0,0,TRUE
66,1,0,38,230,37,49,0.933687,0.116742,0,0,11,TRUE
63,1,1,28,98,22,27,0.933871,0.09596,0,0,28,TRUE
18,2,0,6,35,1,1,0.680672,0.361111,1,7,17,TRUE
6,3,0,0,11,0,6,0,0.555556,1,1,3,FALSE
8,1,0,0,8,0,8,2,0.75,0,0,1,FALSE
3,1,0,6,3,3,3,2,0.666667,0,0,1,TRUE
27,4,0,2,33,2,27,2,0.388889,0,0,1,TRUE
10,1,0,11,10,1,10,1.111111,0.466667,0,0,1,TRUE
7,4,0,3,10,3,7,2,0.571429,1,6,1,TRUE
2,1,0,0,2,0,2,2,0.75,0,0,1,FALSE
18,1,0,0,18,0,18,2,0.5,0,0,1,FALSE
6,2,0,22,48,21,0,0.933333,0.375,1,2,52,TRUE
6,1,0,4,19,3,5,0,0.625,0,0,3,TRUE
3,1,0,0,5,0,2,0.5,0.5,0,0,1,TRUE
7,4,0,3,10,3,7,2,0.571429,1,6,1,TRUE
